Vraiment	Rg	VRAIMENT
présence	Nc	PRÉSENCE
de	S	DE
tous	Di	TOUT
on	Pp	ON
lui	Pp	IL
donna	Vvc	DONNER
la	Da	LE
gloire	Nc	GLOIRE
D'	Vvc	D'
avoir	Vun	AVOIR
contribué	Ge	CONTRIBUER
lui	Pp	IL
seul	Ag	SEUL
à	S	À
la	Da	LE
victoire	Nc	VICTOIRE
;	Fw	;
Votre	Nc	Votre
père	Nc	PÈRE
en	Pp	EN
conçut	Vvc	CONCEVOIR
dans	S	DANS
le	Da	LE
coeur	Nc	CUR
un	Dn	UN
dépit	Nc	DÉPIT
,	Fw	,
Présumant	Ga	Présumant
que	Cs	QUE
par	S	PAR
là	Rg	LÀ
s'	Pp	SE
abaissait	Vvc	ABAISSER
son	Ds	SON
crédit	Nc	CRÉDIT
.	Fs	.
Je	Pp	JE
l'	Pp	IL
ai	Vuc	AVOIR
su	Ge	SAVOIR
par	S	PAR
adresse	Nc	ADRESSE
,	Fw	,
et	Cc	ET
que	Rg	QUE
porté	Ge	PORTER
d'	S	DE
envie	Nc	ENVIE
Il	Vvc	Il
ne	Rp	NE
l'	Pp	IL
a	Vuc	AVOIR
pu	Ge	POUVOIR
depuis	S	DEPUIS
revoir	Vvn	REVOIR
sans	S	SANS
jalousie	Nc	JALOUSIE
.	Fs	.
Hélas	Vvc	Hélas
!	Fs	!
depuis	S	DEPUIS
ce	Dd	CE
temps	Nc	TEMPS
nous	Pp	NOUS
ne	Rp	NE
l'	Pp	IL
avions	Vuc	AVOIR
pas	Rg	PAS
vu	Ge	VOIR
;	Fw	;
Mais	Vvc	Mais
étant	Ga	ÊTRE
ce	Pd	CE
qu'	Pr	QUE
il	Pp	IL
est	Vuc	ÊTRE
,	Fw	,
le	Da	LE
gouverneur	Nc	GOUVERNEUR
a	Vuc	AVOIR
cru	Ge	CROIRE|CROÎTRE
Qu'	Vvc	Qu'
il	Pp	IL
ne	Rp	NE
lui	Pp	IL
pouvait	Vvc	POUVOIR
pas	Rg	PAS
ravir	Vvn	RAVIR
sans	S	SANS
injustice	Nc	INJUSTICE
L'	Vvc	L'
honneur	Nc	HONNEUR
que	Pr	QUE
méritait	Vvc	MÉRITER
cet	Dd	CE
important	Ag	IMPORTANT
service	Nc	SERVICE
Mais	Vvc	Mais
il	Pp	IL
ne	Rp	NE
peut	Vvc	POUVOIR
aussi	Rg	AUSSI
ravir	Vvn	RAVIR
,	Fw	,
sans	S	SANS
être	Vun	ÊTRE
ingrat	Ag	INGRAT
,	Fw	,
La	Vvc	La
gloire	Nc	GLOIRE
que	Cs	QUE
mon	Ds	MON
père	Nc	PÈRE
acquit	Vvc	ACQUÉRIR
en	S	EN
ce	Dd	CE
combat	Nc	COMBAT
,	Fw	,
Et	Vvc	Et
qu'	Cs	QUE
en	S	EN
la	Da	LE
faction	Nc	FACTION
entièrement	Rg	ENTIÈREMENT
détruite	Ge	DÉTRUIRE
Il	Vvc	Il
doit	Vvc	DEVOIR
tout	Rg	TOUT
à	S	À
son	Ds	SON
bras	Nc	BRAS
ainsi	Rg	AINSI
qu'	Cs	QUE
à	S	À
sa	Ds	SON
conduite	Nc	CONDUITE
.	Fs	.
Mais	Cc	MAIS
il	Pp	IL
tarde	Vvc	TARDER
beaucoup	Rg	BEAUCOUP
!	Fs	!
Comment	Rt	COMMENT
!	Fs	!
Le	Da	LE
coeur	Nc	CUR
vous	Pp	VOUS
bat	Vvc	BATTRE
!	Fs	!
Il	Pp	IL
ne	Rp	NE
rendit	Vvc	RENDRE
jamais	Rg	JAMAIS
un	Dn	UN
si	Rg	SI
