idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
tc0057,0.0126053105,0.0003517159,4.10E-05,0.0131013999,0.0108353819,0.0186688215,0.0206539948,0.0132074838,0.0093148622,7.72E-05,7.18E-05,0.0005153395,0.0021174444,0.0024054988,0.0004458173,4.38E-05,0.0031835006,0.0045500376,0.0287052481,0.0036016124,0.0016465387,0.0025805763,0.0010742042,6.80E-05,0.0116976367,0.0255344514,0.0133816597,0.0176406195,0.0364615373,0.0025243804,0.0005190455,0.0007000916,0.0073910781,0.0079710677,4.19E-05,0.0268357904,0.0021309068,0.069865513,0.0175447569,0.0087332841,0.0008910543,0.0022260222,0.0009519333,0.0386275237,0.0183426273,0.0709434366,0.0145006852,0.0022668021,4.84E-05,7.97E-05,3.03E-05,0.0259737327,8.09E-05,0.3990438278,0.0058543993,6.57E-05,0.0017900454,0.0170134892,0.0023868616,4.23E-05
tc0059,0.0016058214,0.0167515436,0.0005342323,0.0229162678,0.0257214745,0.0005945784,0.030356663,0.014420139,0.0004013497,0.0444164532,8.17E-05,9.30E-05,0.0002256014,0.0364932034,0.0151239576,0.0529781798,0.0112846457,0.0001953418,0.0110955097,0.0018658282,0.0001369718,0.0361994345,0.0038757478,7.74E-05,0.2011243232,0.0021693707,0.003354402,0.0064355736,0.0031475465,0.010210515,0.0005871801,0.0437310502,0.0121390985,0.0457259768,4.77E-05,0.0103254083,0.1828194856,0.01988066,0.0015516744,0.0165149404,0.0004567155,0.0230215419,0.0049929356,0.0059417172,0.0004844636,0.0035120996,0.0067397449,0.0005519446,0.0012421643,0.0092527093,0.0002992003,0.0109908332,0.0035372831,0.010993599,0.0106641346,0.0014643632,0.0018982895,0.0009069604,0.0057651222,0.0100741194
tc0064,0.0151820437,0.0236772242,4.52E-05,0.0480924121,0.0117784247,0.0010053893,0.0067167764,0.0078783129,0.0001102944,0.0190097397,0.0018987386,0.0007207719,0.0025290955,0.025067031,0.0211927487,0.0223300765,0.047192977,0.0004169309,0.0031821838,0.0025696282,0.0005923724,0.1257609771,0.0250107985,7.50E-05,0.0828823111,0.0018246027,0.0245988719,0.0023493236,0.0029229435,0.0159290741,0.0053948554,0.0509642769,0.0198707053,0.0196175939,0.000272406,0.0005203353,0.1430846147,0.0041674435,0.0054401047,0.0076239675,0.001462742,0.0057423977,2.10E-05,0.0097900073,0.0002129738,0.0029237788,0.0062570687,0.0008564044,0.0005220998,0.016483992,3.34E-05,0.0252896909,8.92E-05,0.0181569695,0.0079145299,7.24E-05,0.0003054554,0.0003722505,0.0148214154,0.089173571
tc0068,0.0119243321,0.0033956252,0.0002365665,0.1004683032,0.016244184,0.0019630168,0.0328271112,0.0017999716,0.0003143128,0.0001093715,0.0012909199,0.0002879029,0.0026002329,0.1001651848,0.0082874305,0.0007618674,0.0167435543,0.0007513991,0.0039062432,0.001402269,0.0001704754,0.0428507545,0.1321125887,0.0002662413,0.0551114319,0.0004445898,0.0160794903,0.0048306849,0.0005513155,0.0083214664,0.0070541766,0.023717116,0.0262365082,0.166644126,0.000231476,0.0045954417,0.0077332379,0.0095051743,0.0063369023,0.0117789602,0.0025155467,0.0049578739,2.69E-05,0.0033409361,0.0071254624,0.0261557908,0.0061092951,0.0099035765,0.0285405022,0.0001129205,0.0003650197,0.0295585398,0.0005977244,0.0107967612,0.0011149553,9.30E-05,0.0104131511,0.0031933486,0.0231129366,0.0019137607
tc0070,0.0011129315,0.0001120822,0.0003881026,0.0009930365,0.0055982808,0.0009705031,0.003774622,0.0022122839,9.46E-05,0.0005903095,0.0009048245,0.0398248079,0.0006760149,0.0008474859,0.0022439343,4.14E-05,0.000217013,0.2564537418,0.002017151,0.005548007,0.0092080096,0.0192608001,0.0001468457,6.43E-05,0.013191518,8.05E-05,0.0004535249,0.0329223271,0.0001400233,0.0026121706,5.89E-05,0.0014022073,0.0352424057,0.2365969949,3.96E-05,9.55E-05,0.0011988397,0.0008374809,0.0195390392,0.0773858377,0.0001810168,0.0002646645,1.80E-05,0.0133162857,0.000869804,0.002372156,0.0006108617,0.003815541,4.58E-05,7.54E-05,2.87E-05,0.0100264789,7.65E-05,0.0041697166,0.0011871968,6.21E-05,0.1417935853,0.0049704125,0.0409778075,4.00E-05
tc0072,0.0119893147,0.0001685287,5.83E-05,0.0040398076,0.0003276827,0.0077717971,0.0020171439,0.0012426176,0.0001422152,0.0001098132,0.0001021508,0.0442053279,0.0034351604,0.0017689034,0.0007312251,0.0144692329,0.002362403,0.0249851805,0.0108421797,0.0021902823,0.0005512942,0.0181478957,0.000585407,0.0019811332,0.0006218255,0.0008812496,0.0001653075,0.1349761636,0.0036161911,0.0069633328,0.0019919739,0.0286269554,0.0125145068,0.0619023518,0.0004308506,0.0001435711,0.0019858163,0.000520494,0.077599577,0.1122299449,0.0021728314,0.0001505256,2.70E-05,0.0147776409,0.0022983295,0.009086272,0.015179911,0.0179931125,6.89E-05,0.0001133765,0.004781171,0.0237666332,0.0001150494,0.0010200015,0.0008455663,9.34E-05,0.2350120917,0.0594444997,0.0081796417,0.0054789499
tc0074,0.0647922738,0.0007443265,0.0006701308,0.0696222477,0.0319260624,0.0276908871,0.0631806459,0.0270510563,0.0417578517,0.0001032404,0.0140045486,0.0012396512,0.0027700262,0.0006178075,0.0052455926,5.85E-05,0.0003067735,0.0024053747,0.0165099624,0.0249591857,0.0011678506,0.0213655112,0.0017925763,0.0009057906,0.0409952942,0.0015397066,0.0355198193,0.0078283216,0.0089020964,0.01720531,0.0006713973,0.0050167481,0.1300517952,0.015479901,0.0002410575,0.003667096,0.0105234684,0.0445754164,0.0045992703,0.0103817804,0.0012322783,0.0001415159,2.54E-05,0.0175102656,0.0141204749,0.0020302906,9.86E-05,0.0065095437,0.0019830542,0.0011024127,4.05E-05,0.0356753668,0.0023516509,0.0576834161,0.0272451432,0.0004679701,0.0011505102,0.0682233679,0.0042653406,5.65E-05
tc0075,0.0296850224,0.0003118285,0.0002365007,0.0255099355,0.0109620999,0.0291813729,0.0575777906,0.0330109407,0.0275238668,8.08E-05,0.0008090164,8.56E-05,0.0052482729,0.0051367937,0.0013303677,4.58E-05,0.0009911289,0.0017433082,0.0597941335,0.0111121072,0.0010538156,0.0218880595,0.0018146462,7.12E-05,0.0511242949,0.0008587243,0.0006989223,0.0025553653,0.011162711,0.0154889579,0.0002600094,0.0135297382,0.0354947192,0.0062928598,0.0069495636,0.0002934602,0.0009372435,0.0179866783,0.0466438612,0.0170584781,0.0340441368,0.0003080628,1.99E-05,0.0298946241,0.0325521275,0.0227867844,7.71E-05,0.0091707224,5.07E-05,0.0004613025,0.0025178683,0.0544829308,0.0016629025,0.2264380402,0.0049324674,0.0048194718,0.0051075053,0.0025741805,0.0155148657,4.43E-05
tc0076,0.0328078547,0.007077382,0.0058073028,0.0004943427,0.0126499317,0.000860287,0.0124511904,0.0092323155,0.0031216459,7.63E-05,7.09E-05,0.001240805,0.0059960777,0.333607474,0.0047134795,0.0538503983,0.0164300875,0.0013085186,0.0003508157,0.0019758969,0.0001188772,0.0044060611,0.1090905245,6.72E-05,0.0251172841,8.40E-05,0.0001148098,0.0053689932,0.0001462259,0.0007752007,0.0681307669,0.0060300465,0.0129697439,0.0049680298,4.14E-05,0.0075965924,0.0281656564,0.0014940254,0.0149591296,0.0054382173,0.0013457461,0.0031274177,1.88E-05,0.068367831,0.0001907241,0.0033381073,7.28E-05,0.0158721952,4.78E-05,7.87E-05,0.0011833008,0.0073677222,0.0023157218,0.0216344228,0.0101770408,6.49E-05,0.0368582667,0.0003333608,0.0283575179,4.18E-05
tc0080,0.0085658592,0.0156078781,4.43E-05,0.099874786,0.0019252065,0.0012747011,0.0055442719,0.0064898593,0.000270618,0.0009587653,7.76E-05,0.0018455227,0.0043129752,0.0804189322,0.0553080351,0.0054308654,0.0274889969,0.0023747769,0.0022251468,0.0027453619,0.0002940584,0.0483282518,0.232172902,7.35E-05,0.1045748357,0.0009616564,0.0271823288,0.0075066618,0.0010637404,0.0002135758,0.0019789812,0.0162708501,0.0201244803,0.0462120146,0.0013599581,0.0001091155,0.0010610737,0.0229562355,0.0040201547,0.0067813871,0.0022717069,0.000114401,2.05E-05,0.0146037829,0.0094824329,0.0029712047,0.0010635011,0.0007560042,0.0076725009,8.62E-05,0.0002027503,0.0235308639,0.0007102397,0.0173446197,0.0029529833,0.0008079386,0.0083096059,0.0016120396,0.0336970017,0.0057594436
tc0085,0.0167833,0.0102410731,4.77E-05,0.0448517469,0.0069530549,0.0018346945,0.0067800362,0.000794177,0.0003119873,8.99E-05,0.0007050733,0.0026509393,0.0015048421,0.0172405183,0.0279544773,0.0030156858,0.0275299907,0.0006186803,0.0306694963,0.0002896644,0.0001400642,0.0300390163,0.1832578203,7.92E-05,0.0851459169,9.90E-05,0.0075515507,0.0160444669,0.0003807436,0.0015452324,0.047147227,0.0233887732,0.0125777562,0.0447253056,0.0875718757,0.0262478476,0.0119784448,0.0062860893,0.0148612654,0.0102568322,0.000858028,0.0011654581,0.0004456474,0.0420581254,0.0087292536,0.008039873,0.0054521498,0.0020231199,0.0022081011,0.0154226512,3.53E-05,0.0136945821,0.0086244354,0.0218588162,0.0066955324,0.0013378232,0.0126513477,0.0031583638,0.0353008225,4.92E-05
tc0086,0.0163571474,0.0019911986,0.0003392859,0.1008090942,0.0081556761,0.0004200925,0.0065112852,0.0016887425,0.0001362939,0.000105241,0.0044777893,0.0026949625,0.0057208094,0.0043538062,0.000937846,0.0515956114,0.0057293516,0.0083152021,0.0013343999,0.0054360087,0.0004777027,0.0033530193,0.2179799461,9.27E-05,0.103623706,0.0001159515,0.0291960852,0.0486989629,0.0058438642,0.0005662189,0.1164632171,0.0192845829,0.0247631134,0.0132180287,5.71E-05,0.0063732268,0.0271165534,0.0134053434,0.00113509,0.0232366024,0.0024565057,0.0001442583,2.59E-05,0.0172727265,0.0022747509,0.0250093026,0.002367964,0.0006025118,0.0003796846,0.0102772653,0.0051431886,0.001680748,0.000677135,0.0165576647,0.0122169911,0.0004031796,0.0006734834,0.0020021749,0.0176660253,5.76E-05
tc0091,0.0302428599,0.0116407094,0.0027086562,0.0485215573,0.0195525578,0.0047965859,0.0887684617,0.0027482479,0.0002045524,0.0182563477,0.0001469265,0.0018075891,0.0008155813,0.0051380823,0.017999374,0.0063927408,0.0057221152,0.0033560381,0.0086076408,0.003081951,0.0004695552,0.0289891096,0.0019889159,0.0011757398,0.030474301,0.0003831845,0.0160736623,0.0059645775,0.0021353113,0.0218312948,0.0012474666,0.0363357499,0.035060303,0.0108210053,0.0007343131,0.0031191499,0.3558054889,0.0063458634,0.0012152631,0.0064513079,0.0030533197,0.0019402291,3.89E-05,0.0081661265,0.020470385,0.0273248417,0.0003592383,0.010247642,9.91E-05,0.0032512942,6.20E-05,0.0137830979,0.000165479,0.0105397953,0.0131615606,0.0043085264,0.002830398,0.0024999735,0.0251098436,0.0054581668
tc0094,0.0222160329,0.0001314013,0.0008098474,0.0228997781,0.049195021,0.0081965555,0.0352719778,0.0068725992,0.0016799982,0.0002656136,0.001756003,9.07E-05,0.0207473905,0.0005758685,0.0022222129,4.85E-05,0.0019411097,0.0035574378,0.0222729564,0.0181159542,0.0062839693,0.0107007003,0.0015333013,7.54E-05,0.0621379655,0.0003001475,0.0040091332,0.0012599821,0.0042779091,0.0011568485,6.91E-05,0.0098184886,0.1899100133,0.038712335,4.65E-05,0.0012252278,0.0035364031,0.0086181207,0.0158992471,0.0259007684,0.0013816548,0.0001173644,2.11E-05,0.0363504907,0.0102893926,0.0634807785,8.17E-05,0.0411059887,0.0004474285,0.0005000248,3.36E-05,0.0277247643,8.97E-05,0.0052980077,0.1609865258,7.28E-05,0.002644373,0.0130082918,0.0318038534,0.0002236372
tc0096,0.0005070828,0.0012103571,4.28E-05,0.0153375714,0.0081910356,0.0006767505,0.0216390366,0.0061950284,0.0231861919,0.0004566354,7.51E-05,0.0065121831,0.0140212563,0.0013321691,0.0011611061,4.58E-05,0.0006158957,0.0128085713,0.0225045476,0.0536429608,0.0005159286,0.0098541872,0.0007234931,0.0002884234,0.0507607957,0.0029605504,0.0021427979,0.0104346924,0.0021093135,0.0063537779,0.0003928789,0.0020483489,0.1213638064,0.0357642308,4.38E-05,0.0001055617,0.0017120549,0.0028899299,0.0057046782,0.0970438106,0.0157055099,0.000110675,1.99E-05,0.0498522337,0.0093530132,0.0022140023,0.0002593171,0.1480145368,0.0002344003,8.34E-05,3.17E-05,0.0363719607,0.0002683413,0.0051180528,0.0283785967,6.87E-05,0.0069014185,0.0534620331,0.1001328995,4.42E-05
tc0098,0.0188601788,0.0005058146,0.0014646414,0.0353665255,0.0062979634,0.0273845958,0.0096554143,0.007452326,0.0270367616,0.0281236497,0.0016487173,0.0001054623,0.0092861792,0.0170433507,0.0167063093,5.65E-05,0.0077518817,0.0009626304,0.0399800182,0.0025447125,0.0119446309,0.0231287523,0.002377163,8.78E-05,0.063486161,0.0046980379,0.0009279764,0.0187906097,0.0001909781,0.0006267493,8.03E-05,0.0509713558,0.0658012516,0.0061697574,0.0042939257,0.0001302306,0.1592761616,0.0742934466,0.0011798161,0.0137065798,0.0016453444,0.0129813916,2.45E-05,0.0374049863,0.0002490949,0.0344253147,9.51E-05,0.0002892559,0.0056874343,0.0001028417,3.91E-05,0.0560931757,0.0063837416,0.050375109,0.0011488534,8.47E-05,0.0038808375,0.0004353855,0.0255294617,0.0027290633
tc0102,0.0030690476,0.0001272672,0.0015941279,0.0183548853,0.0020258104,0.0178041698,0.006875483,0.0372065554,0.0091342649,0.0005468281,7.71E-05,0.0010278186,0.0010680563,0.0468689843,0.0273601641,4.70E-05,0.0073224244,0.0007609403,0.0506622552,0.0030254305,0.1016065466,0.0059887203,0.0001667404,0.0012365146,0.0753969682,0.0042892374,0.0004082816,0.0963240831,0.0007386745,0.0038927756,0.0023473201,0.0184186987,0.0165955541,0.0757687076,0.0007570854,0.0048167129,0.0083948138,0.0146298165,0.0547602142,0.0132648189,0.0458115028,0.0023319175,0.0003321167,0.0135680591,0.0169696887,0.0020918186,0.0082682846,0.0160520305,0.0089749998,0.0019011455,3.25E-05,0.046958357,0.0003873523,0.0211139513,0.0082260991,0.0008049503,0.0432031227,0.0108525864,0.0165664121,0.0007921044
tc0103,0.0073680434,0.0003538948,0.0008043744,0.0068239249,0.0203345509,0.0257523498,0.0064786734,0.0005751964,0.0001249031,9.64E-05,0.0004572166,0.0029234616,0.0070046809,0.0022111824,0.0006530833,5.47E-05,0.0002865829,0.0589137713,0.0161884717,0.001691134,0.0013282791,0.0333442965,0.0005665576,0.0662838552,0.0469760251,0.0108918697,0.000544612,0.0149721282,0.0001849119,0.0061327554,7.78E-05,0.001269572,0.0796509534,0.0552639325,5.24E-05,0.000126094,0.0010185912,0.0033093475,0.0234828013,0.1249515817,0.0008566913,0.0001322018,2.37E-05,0.0065085002,0.0012705898,0.0244488415,9.21E-05,0.0228079035,6.05E-05,9.96E-05,3.79E-05,0.0543450416,0.0001010443,0.0020732953,0.1401436322,0.0006554094,0.0017605961,0.039993314,0.0750114618,5.28E-05
tc0105,0.0026286151,0.0001217233,4.21E-05,0.0115285581,0.0068925128,0.0028741292,0.0007880887,0.0164793729,0.0056690182,7.93E-05,7.38E-05,0.005824389,0.001619969,0.0001793993,0.0002340197,4.50E-05,0.0005012329,0.0709776317,0.0800922499,0.0046220036,0.0001236267,0.0182292377,0.0001594772,0.00329698,0.0187012271,0.00824375,0.0010805351,0.0364947765,0.000152068,0.0153493309,6.40E-05,0.0022393062,0.1416750437,0.0150954316,4.31E-05,0.0001036973,0.0022074961,0.0240457059,0.0576231207,0.1518277964,0.0066327551,0.0001087202,1.95E-05,0.0497879263,0.0043268293,0.0263298317,0.000833921,0.0059619039,4.98E-05,8.19E-05,3.11E-05,0.1386257057,8.31E-05,0.0141837887,0.0183132555,0.0009475186,0.000750268,0.006001998,0.0185982923,0.0003031945
tc0106,0.0028104418,0.0001500797,5.19E-05,0.0109870233,0.0002918111,0.050212204,0.0161047754,0.0057707533,0.0011777075,9.78E-05,9.10E-05,0.000103538,0.0066011243,0.0010710378,0.003087589,5.54E-05,0.0002905838,0.0079623133,0.0268304803,0.0245610129,0.0008513764,0.0408024484,0.0016789996,0.001089719,0.0134155709,0.0001077443,0.0001472112,0.001551556,0.0005899463,0.0180059535,7.89E-05,0.0013737847,0.1501197656,0.0256842071,5.31E-05,0.0001278543,0.0006509894,0.0032469512,0.012097808,0.1037935368,0.0006659188,0.0001340475,2.41E-05,0.0341635629,0.0037292477,0.1173377369,9.34E-05,0.0061559451,6.13E-05,0.0003334063,0.0002716373,0.033075556,0.0001024549,0.0046482043,0.0762483564,8.32E-05,0.0011276441,0.1014059251,0.0865089041,5.36E-05
tc0107,0.032104468,0.0005171222,0.0052742756,0.0139747055,0.0031969379,0.0302250394,0.0117882181,0.0018263972,0.0013081687,8.15E-05,7.58E-05,8.63E-05,0.0015260006,0.0025644501,0.0006121168,4.62E-05,0.0002421026,0.0007444541,0.0044447447,0.0009940606,0.0001269956,0.0115183874,0.0010976313,7.18E-05,0.0545151068,0.004122497,0.0023605249,0.0038542002,0.0005197837,0.0047507056,0.0005868264,0.0012195355,0.3011087541,0.0071818397,4.42E-05,0.000106523,0.0039304245,0.0119990198,0.0370374445,0.0103743048,0.0055748491,0.0001116829,2.00E-05,0.0167681122,0.0043857813,0.0749083486,0.0002606252,0.0068417204,0.002991725,8.41E-05,3.20E-05,0.040229145,8.54E-05,0.0068030126,0.0365864551,6.93E-05,0.0014028625,0.204971043,0.0296697074,4.46E-05
tc0108,0.0366937337,0.0001280663,0.0055714284,0.0098964154,0.0034112044,0.0023761389,0.0029218535,0.0041001989,0.0001080706,8.34E-05,7.76E-05,0.0419006406,0.0063708604,0.0074406584,0.0008254065,4.73E-05,0.0011151622,0.011328316,0.0098248743,0.0067194718,0.0001300689,0.003208841,0.0021254427,7.35E-05,0.090172894,0.0005013117,0.0003506642,0.0433822738,0.0048085725,0.0016384898,6.73E-05,0.001763295,0.0936820851,0.046485977,4.53E-05,0.0091373315,0.0003850833,0.0045239659,0.1151365621,0.0462111641,0.000431221,0.0001143857,2.05E-05,0.0412517099,0.0002086797,0.0067540095,7.97E-05,0.0048221424,0.0002570336,8.62E-05,3.28E-05,0.0494458298,8.74E-05,0.0075107488,0.0096393092,7.10E-05,0.0296623287,0.0111615076,0.2235468558,4.57E-05
