tc_author-short,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
BRUEYSPALAPRAT,0.0060499715,0.0019859419,0.0426438678,0.0208315958,0.002077734,0.0125014901,0.0002707791,0.0080360067,0.0003089679,0.0001672288,0.0008836118,0.0003746788,0.0018400137,0.0001442404,0.469321441,0.0118365267,0.0171243827,0.0001454978,0.001428875,0.0001071246,0.0007764971,0.0003456445,0.0008540638,0.0405378996,0.0018523102,0.0282737356,0.0002973819,0.0372114799,0.0041895245,0.003979553,0.0001646692,0.0003955423,0.0138988599,0.0432924192,0.0002284392,0.0001550889,0.0043990126,0.0004476225,0.0953309994,0.0002802776,5.25E-05,0.0012297856,0.0006498251,0.0074682629,0.0159152223,0.0042366904,0.0019454266,0.0032626795,0.0190982973,0.0427001507,0.0014546425,6.04E-05,0.0040722113,0.0003982377,0.0168428484,0.000900449,0.0011271566,0.0002925455,0.0003205123,0.0029810904
CAILHAVA,0.0035161088,0.0141702895,8.45E-05,0.0027810307,0.002074865,0.007149805,0.0003380474,0.0059682467,0.0024743468,0.0070841915,0.0075614164,0.036628528,0.0300227608,0.0032476652,0.020864048,0.0089195337,0.0011956747,0.0010229851,0.0189793212,0.0198141543,0.0008184503,0.0526197106,0.0052864259,0.0135700255,0.0109487416,0.037998829,0.0022325519,0.004294896,0.002709038,0.002805163,0.0129179767,0.003235699,0.037140944,0.0057544382,0.0028337948,0.0104523951,0.0032796882,0.0038649511,0.026616463,0.0075036933,0.0007087776,0.0089331652,0.0002015656,0.0071077256,0.0038184632,0.0001996515,0.036823997,0.0172672149,0.0111978521,0.0071229246,0.009935704,0.0073452001,0.0139832867,0.0051836428,0.0259774268,0.0060164161,0.0124647636,0.1974064768,0.1837643273,0.0037599935
CAILLEAU,0.0003605889,0.0015676201,0.0011928523,0.00084499,0.0116584796,0.0329317056,0.0009447589,0.0008946562,0.0115622729,0.0050704169,0.0117062062,0.0530647493,0.0202493884,0.0002744068,0.0003095691,0.0029962387,0.0001233389,0.0008088182,0.028114831,0.0965599379,0.0009930032,0.0449370733,0.0091272643,0.0056632643,0.0045142642,0.0195776925,0.0063513211,0.070558209,0.0007628435,0.0001381156,0.048494583,0.0093350413,0.0060104177,0.0047836756,0.0541285345,0.0107715711,0.005726309,0.0029284814,0.0356846497,0.0156534482,0.0010616674,0.00310819,0.0006978395,0.0069846834,0.0129317715,0.0003042414,0.0135055826,0.012172333,0.1632195499,0.0106558279,0.0019266573,0.001557519,0.0233946264,0.015964125,0.002611711,0.0131796124,0.0047682788,0.0423033092,0.031776081,0.000500805
CAMPISTRON,0.0038811588,0.0326708237,0.0001670586,0.0004977261,0.0143170716,0.0682917071,0.0021578522,0.0047631133,0.0703011822,0.0144843336,0.0303096264,0.0194173126,0.012461846,0.0005113238,0.0004625898,0.018378818,0.0001644092,0.0048298697,0.0865579785,0.000235989,0.0023568378,0.0070900209,0.0041565538,0.000168249,0.0820410868,0.0153710691,0.007579559,0.0105871267,0.005280464,0.0001033515,0.0012194078,0.0121495712,0.0012653393,0.0004452252,0.0042830681,0.0010725453,0.0056989302,0.0388065373,0.0037197703,0.0044495971,4.90E-05,0.0060249653,0.0034326419,0.0091716805,0.0017810663,0.0026162756,0.0408516068,0.1414728497,0.0013852187,0.0005402752,0.0972411733,0.0002003992,0.0275530723,0.0173791019,0.0002669991,0.0471322641,0.0027058611,0.0012194222,0.0012424745,0.0050275302
CHABANON,0.0011188632,0.0206481988,0.0009472782,0.0167729336,0.0023476242,0.0166936527,0.0008395845,0.0053090703,0.0134648015,0.0062960896,0.0309521315,0.0497748958,0.0072596282,0.0029870417,0.0189818793,0.0073221237,0.0003858325,0.0027171104,0.0282254304,0.0002007892,0.0016826555,0.0519210219,0.0039476475,0.0105626289,0.0136545235,0.0292238624,0.0055752588,0.0291210795,0.0036175927,0.0017234877,0.0033026227,0.0147605173,0.0095305445,0.0106923093,0.0021483779,0.0056009048,0.0277381765,0.0775234857,0.005678802,0.0096692457,0.000693112,0.0291524127,0.0040274623,0.0014091956,0.0065589575,0.0020343029,0.0640579531,0.0324191407,0.0171782922,0.0033798852,0.0282894605,0.0101957518,0.0157632092,0.0159404697,0.0215301308,0.0212253733,0.0030720704,0.0385451662,0.1300745974,0.0035333524
CHAMFORT,0.0350722761,0.0151128475,5.73E-05,0.0014485194,0.000475837,0.005310776,0.0004014463,0.0041415496,0.0901978381,0.00014158,0.0518929353,0.1629310151,0.0110643706,0.0001221174,0.0001377654,0.0027994964,5.49E-05,0.0011947866,0.0400384111,0.0007539053,0.0043471593,0.0048022026,0.0035086256,0.000152675,0.0329826296,0.0269545994,0.0002517707,0.0028223047,0.0023519239,6.15E-05,0.0001394129,0.0183212347,0.0023893815,0.0003927628,0.0023549206,0.0066128972,0.0005492647,0.0260574602,0.0008694844,0.00077003,4.45E-05,0.052288521,0.0007103295,0.0022766511,0.0009323802,0.0001353945,0.0133576077,0.0804166998,0.0004182198,0.0003130142,0.2178525119,0.0002082113,0.0209854414,0.0189938175,0.0004390316,0.0244919119,0.0012288878,0.001955304,0.0011220165,0.0017876727
CHEVALIER,0.0001994263,0.0092113011,7.12E-05,0.1332167242,0.0014141947,0.0018512332,0.0057990172,0.0181600211,0.0011734066,0.0010199594,0.0004632379,0.0003942188,0.0261478647,0.002192358,0.0001712095,0.0598254488,6.82E-05,0.0009981852,0.0035540616,0.0769634948,0.0188684811,0.00078622,0.0227467697,0.0224641088,0.0009737073,0.0083936513,0.0023927689,0.0207867465,0.0198504673,0.0153608572,0.0014206054,0.002105128,0.0233461358,0.1482638258,0.000774659,0.0171232463,0.0093307272,0.0008935163,0.0537365985,0.0002948944,5.53E-05,0.0043750645,0.0043953736,0.0063604854,0.0276594016,0.0005940511,0.0218744996,0.0060814008,0.0308413339,0.0432715572,0.0163886661,0.0009151536,0.0151879647,0.0004190063,0.0160372679,0.0056153146,0.0002327445,0.0079311201,0.0569579929,0.0019983861
CHEVREAU,0.0048670064,0.0049408306,0.0026073771,0.0319053183,0.0009821337,0.0190650585,0.0071051312,0.1938092629,0.0027167281,0.0001558198,0.0023318623,0.0005747861,0.0601570633,0.0030681008,0.0257747277,0.0212961859,0.0035536356,0.0001355714,0.0031741031,0.0170279947,0.019837456,0.0211292372,0.0086549356,0.0001680308,0.0050348826,0.0200004669,0.0016925381,0.0011350744,0.2497071787,0.0026633634,0.0001534348,0.0018449458,0.0606281149,0.0045183175,0.0035925045,0.0001445082,0.011660079,0.00125614,0.0461061308,0.0062511148,4.90E-05,0.0005253305,0.0005738691,0.0133945814,0.0037740204,0.0003668172,0.0045111948,0.0083919235,0.010240434,0.0054793857,0.0030385381,5.63E-05,0.0402117532,0.0051618076,0.0009929294,0.013447693,0.0047061789,0.0010955191,0.0118747153,0.0006808957
COLARDEAU,0.0036416426,0.0095081888,7.41E-05,0.0006695275,0.0003678672,0.0298232411,0.0002963971,0.0017546133,0.0041884364,0.0027398368,0.0267201614,0.2012854235,0.0074881381,0.0001578867,0.0001781182,0.0065778606,7.10E-05,0.0161237209,0.0143163516,0.0001172595,0.0005420194,0.0029842242,0.0046499549,0.000197395,0.1154852593,0.0199327664,0.0011836506,0.0030224359,0.0010820676,7.95E-05,0.0006061739,0.0643705282,0.0005115385,0.0002833146,0.0002500514,0.0003902007,0.0006961447,0.1807986763,0.0004450278,0.0009356721,5.75E-05,0.0167645582,0.0019532439,0.0003109116,0.0006664073,0.0011873213,0.007921753,0.1356709486,0.0023289098,0.0001925819,0.0528872235,6.61E-05,0.0080101109,0.0366149301,0.0007774556,0.0030050265,0.0008818957,0.0020103024,0.0003508353,0.0037956053
CORNEILLEP,0.0074657138,0.0545763189,0.0008251745,0.0225654338,0.0065012038,0.0409555375,0.0099591205,0.1342527695,0.0061922926,0.0107625219,0.0247981796,0.0053544478,0.031525192,0.002028131,0.0025332821,0.0278865534,0.0007990721,0.0026246101,0.0230651767,0.0022984313,0.0061637135,0.018389486,0.0263354735,0.0019832314,0.0286773779,0.0332070305,0.1272243779,0.0122908634,0.0207634815,0.0010164185,0.0073338848,0.0276082359,0.0073769481,0.0049630664,0.0112034902,0.0037988313,0.0065556896,0.0175475387,0.0185523726,0.0108106843,0.0001956673,0.0103357859,0.0048163705,0.0091310724,0.0030739571,0.0049041785,0.0247711062,0.016429523,0.0052057015,0.0036721528,0.0109319556,0.0005128379,0.0247214755,0.020064044,0.0006667907,0.0282656436,0.0051607905,0.0040007456,0.0041626903,0.0102061523
