,idno,idno,length,author-name,author-gender,title,year,supergenre,genre,subgenre,genre-label,genre-subtitle,narration,availability,setting,protagonist-gender,author-country,author-continent,narrator,decade
rd0645,rd0645,rd0645,112560,Hugo,male,Miserables5JeanValjean,1862,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1860s
rd0646,rd0646,rd0646,53403,France,male,MannequinOsier,1897,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,male,n.av.,n.av.,n.av.,1890s
rd0647,rd0647,rd0647,54188,France,male,Thais,1890,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,other,male,n.av.,n.av.,n.av.,1890s
rd0648,rd0648,rd0648,60322,France,male,CrimeSylvestreBonnard,1881,narrative,novel,blanche,n.av.,n.av.,homodiegetic,publicdomain,mixed,male,n.av.,n.av.,n.av.,1880s
rd0656,rd0656,rd0656,115267,Ohnet,male,GrandeMarnière,1885,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,rural,male,n.av.,n.av.,n.av.,1880s
rd0657,rd0657,rd0657,53380,Ohnet,male,AmePierre,1890,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,urban,n.av.,n.av.,n.av.,n.av.,1890s
rd0658,rd0658,rd0658,50559,Ohnet,male,Batailles1MarchandPoison,1892,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0717,rd0717,rd0717,73156,Rodenbach,male,Carillonneur,1897,narrative,novel,blanche,n.av.,n.av.,n.av.,restricted,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0718,rd0718,rd0718,21620,Rodenbach,male,BrugesLaMorte,1892,narrative,novel,blanche,n.av.,n.av.,n.av.,restricted,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0719,rd0719,rd0719,76299,Darien,male,BiribiriDiscipline,1890,narrative,novel,blanche,n.av.,n.av.,n.av.,restricted,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0720,rd0720,rd0720,143256,Darien,male,Voleur,1897,narrative,novel,blanche,n.av.,n.av.,n.av.,restricted,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0721,rd0721,rd0721,92318,Villiers,male,EveFuture,1886,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0722,rd0722,rd0722,36866,Villiers,male,Isis,1862,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0723,rd0723,rd0723,41264,Balzac,male,Lambert,1832,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1830s
rd0724,rd0724,rd0724,56099,Dumas,male,Fantômes,1849,narrative,roman,fantastique,n.av.,récits,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0725,rd0725,rd0725,148464,Chateaubriand,male,Natchez,1821,narrative,roman,blanche,n.av.,n.av.,n.av.,restricted,n.av.,n.av.,n.av.,n.av.,n.av.,1820s
rd0726,rd0726,rd0726,87039,Gay,female,Ellenore,1844,narrative,roman,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0727,rd0727,rd0727,101942,Gay,female,Ellénore,1844,narrative,roman,blanche,n.av.,n.av.,n.av.,restricted,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0728,rd0728,rd0728,20040,Constant,male,CahierRouge,1907,narrative,roman,blanche,n.av.,n.av.,autodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1900s
rd0729,rd0729,rd0729,17790,Maistre,male,ExpéditionNocturne,1825,narrative,roman,blanche,n.av.,n.av.,autodiegetic,restricted,n.av.,n.av.,n.av.,n.av.,n.av.,1820s
rd0730,rd0730,rd0730,59791,About,male,OreilleCassée,1862,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0731,rd0731,rd0731,79412,Dumas,male,MeneurLoups,1857,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0732,rd0732,rd0732,93452,Féval,male,Vampire,1865,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0733,rd0733,rd0733,66418,Gautier,male,PartieCarrée,1848,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0734,rd0734,rd0734,42085,Rachilde,female,MVénus,1884,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0735,rd0735,rd0735,49436,Sue,male,PaulaMonti,1845,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0736,rd0736,rd0736,118809,Sue,male,MorneDiable,1842,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0737,rd0737,rd0737,140719,Aurevilly,male,PrêtreMarié,1864,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd0738,rd0738,rd0738,25393,Nerval,male,Aurélia,1854,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0739,rd0739,rd0739,24443,Cazotte,male,DiableAmoureux,1772,narrative,roman,fantastique,n.av.,nouvelle,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1770s
rd0740,rd0740,rd0740,69950,Dumas,male,Eppstein,1843,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd0741,rd0741,rd0741,54396,Janin,male,AneMort,1827,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1820s
rd0742,rd0742,rd0742,34128,Gautier,male,Avatar,1856,narrative,roman,fantastique,n.av.,conte,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1850s
rd0743,rd0743,rd0743,581286,Sue,male,JuifErrant,1844,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1840s
rd1002,rd1002,rd1002,167590,Boisgobey,male,OeilChat1,1888,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,n.av.,n.av.,n.av.,n.av.,1880s
rd1003,rd1003,rd1003,125050,Boisgobey,male,DoubleBlanc,1889,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,n.av.,n.av.,n.av.,n.av.,1880s
rd1005,rd1005,rd1005,93655,Boisgobey,male,Omnibus,1881,narrative,novel,policier,Detektivroman,n.av.,heterodiegetic,publicdomain,urban,n.av.,n.av.,n.av.,n.av.,1880s
rd1006,rd1006,rd1006,255873,Boisgobey,male,Opera1,1889,narrative,novel,policier,Detektivroman,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd1007,rd1007,,,Boisgobey,male,Opera2,1889,narrative,novel,policier,Detektivroman,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd1008,rd1008,rd1008,104581,Boisgobey,male,Voilette,1885,narrative,novel,policier,Kriminalroman,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd1009,rd1009,rd1009,83903,Boisgobey,male,Chat2,1888,narrative,novel,policier,Detektivroman,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd1020,rd1020,rd1020,129352,Gaboriau,male,Lerouge,1865,narrative,novel,policier,Detektivroman,n.av.,heterodiegetic,publicdomain,mixed,male,n.av.,n.av.,n.av.,1860s
rd1021,rd1021,rd1021,173620,Gaboriau,male,Argent1,1874,narrative,novel,policier,Kriminalroman,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd1022,rd1022,,,Gaboriau,male,Argent2,1874,narrative,novel,policier,Kriminalroman,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd1023,rd1023,rd1023,82506,Gaboriau,male,CliqueDoree1,1871,narrative,novel,blanche,Gesellschaftsroman,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd1024,rd1024,rd1024,90836,Gaboriau,male,CliqueDoree2,1871,narrative,novel,blanche,Gesellschaftsroman,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd1025,rd1025,rd1025,98886,Gaboriau,male,Degringolade1,1872,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd1026,rd1026,rd1026,107505,Gaboriau,male,Degringolade2,1872,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd1027,rd1027,rd1027,84934,Gaboriau,male,Degringolade3,1872,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd1028,rd1028,rd1028,152497,Gaboriau,male,EsclavesParis1,1868,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd1029,rd1029,rd1029,154816,Gaboriau,male,EsclavesParis2,1867,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1860s
rd1150,rd1150,rd1150,60202,Gaboriau,male,AmoursEmpoisonneuse,1881,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd1151,rd1151,rd1151,172619,Gaboriau,male,CordeCou1,1873,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,rural,male,n.av.,n.av.,n.av.,1870s
rd1152,rd1152,rd1152,96926,Gaboriau,male,CordeCou2,1873,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,rural,male,n.av.,n.av.,n.av.,1870s
rd1155,rd1155,rd1155,127324,Gaboriau,male,CrimeOrcival,1866,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,rural,male,n.av.,n.av.,n.av.,1860s
rd1156,rd1156,rd1156,121684,Gaboriau,male,VieInfernale1,1870,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd1157,rd1157,rd1157,129958,Gaboriau,male,VieInfernale2,1870,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,n.av.,male,n.av.,n.av.,n.av.,1870s
rd1158,rd1158,rd1158,99504,Gaboriau,male,MonsieurLecoq1,1869,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1860s
rd1159,rd1159,rd1159,170257,Gaboriau,male,MonsieurLecoq2,1869,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1860s
rd1160,rd1160,rd1160,138603,Ponson,male,Chevaliers,1860,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1860s
rd1161,rd1161,rd1161,146292,Ponson,male,ClubValets1,1858,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1850s
rd1162,rd1162,rd1162,143137,Ponson,male,ClubValets2,1858,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1850s
rd1163,rd1163,rd1163,124623,Ponson,male,CordePendu1,1870,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1870s
rd1164,rd1164,rd1164,58634,Ponson,male,CordePendu2,1870,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1870s
rd1165,rd1165,rd1165,49706,Ponson,male,DernierMot4,1867,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1860s
rd1166,rd1166,rd1166,105938,Ponson,male,DernierMot2,1867,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1860s
rd1167,rd1167,rd1167,102913,Ponson,male,DernierMot3,1867,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1860s
rd1168,rd1168,rd1168,120187,Ponson,male,RocambolePrison,1869,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1860s
rd1169,rd1169,rd1169,193503,Ponson,male,ExploitsRocambole1,1859,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1850s
rd1170,rd1170,rd1170,101314,Ponson,male,ExploitsRocambole2,1859,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1850s
rd1171,rd1171,rd1171,80480,Ponson,male,ExploitsRocambole3,1859,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1850s
rd1172,rd1172,rd1172,55200,Ponson,male,MiseresLondres1,1868,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1860s
rd1173,rd1173,rd1173,71386,Ponson,male,MiseresLondres2,1868,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,n.av.,n.av.,n.av.,n.av.,1860s
rd1174,rd1174,rd1174,60976,Ponson,male,MiseresLondres3,1868,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1860s
rd1175,rd1175,rd1175,93877,Ponson,male,MiseresLondres4,1868,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1860s
rd1176,rd1176,rd1176,80319,Ponson,male,ResurrectionRocambole1,1866,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1860s
rd1177,rd1177,rd1177,173238,Ponson,male,ResurrectionRocambole2,1866,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1860s
rd1178,rd1178,rd1178,69497,Ponson,male,ResurrectionRocambole3,1866,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1860s
rd1179,rd1179,rd1179,161983,Ponson,male,TestamentGrainDeSel,1862,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,male,n.av.,n.av.,n.av.,1860s
rd1184,rd1184,rd1184,104129,Boisgobey,male,RubisOngle,1886,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,urban,n.av.,n.av.,n.av.,n.av.,1880s
rd1199,rd1199,rd1199,102350,Boisgobey,male,MainFroide,1889,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
