,idno,idno,length,author-name,author-gender,title,year,supergenre,genre,subgenre,genre-label,genre-subtitle,narration,availability,setting,protagonist-gender,author-country,author-continent,narrator,decade
rd0092,rd0092,rd0092,112896,Zola,male,Curee,1872,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0093,rd0093,rd0093,122252,Zola,male,DocteurPascal,1893,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0094,rd0094,rd0094,201863,Zola,male,Debacle,1892,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0095,rd0095,rd0095,124980,Zola,male,FortuneRougon,1870,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0096,rd0096,rd0096,136753,Zola,male,EugeneRougon,1876,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0097,rd0097,rd0097,65199,Zola,male,CapitaineBurle,1883,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0098,rd0098,rd0098,126630,Zola,male,JoieVivre,1884,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0099,rd0099,rd0099,110020,Zola,male,PageAmour,1878,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0100,rd0100,rd0100,169809,Zola,male,Assommoir,1877,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0101,rd0101,rd0101,145576,Zola,male,PotBouille,1882,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0102,rd0102,rd0102,154873,Zola,male,Argent,1891,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1890s
rd0103,rd0103,rd0103,71833,Zola,male,Reve,1888,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0104,rd0104,rd0104,124034,Zola,male,AbbeMouret,1875,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1870s
rd0105,rd0105,rd0105,177148,Zola,male,Terre,1887,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
rd0106,rd0106,rd0106,237153,Boisgobey,male,BandeRouge1,1886,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,n.av.,n.av.,n.av.,1880s
