idno,acts,scenes,roles
tc0325,5,20,17
tc0326,5,32,7
tc0327,5,30,8
tc0328,5,24,8
tc0329,5,22,23
tc0330,5,22,9
tc0331,5,29,7
tc0332,5,26,9
tc0333,5,24,8
tc0334,5,28,8
tc0335,5,36,11
tc0343,5,39,9
tc0350,5,38,13
tc0351,5,21,6
tc0352,5,26,10
tc0353,5,33,14
tc0358,5,45,10
tc0359,5,39,10
tc0360,5,19,14
tc0361,5,30,18
tc0362,5,31,10
tc0365,3,30,22
tc0381,5,28,9
tc0385,5,27,11
tc0386,5,28,13
tc0387,5,29,13
tc0388,5,19,10
tc0389,5,21,10
tc0390,5,20,14
tc0391,5,23,16
tc0392,5,21,10
tc0393,5,24,9
tc0394,5,35,9
tc0397,4,24,19
tc0399,5,31,15
tc0402,5,65,18
tc0407,5,34,8
tc0409,5,39,10
tc0410,5,31,10
tc0415,5,34,13
tc0416,5,29,10
tc0418,6,28,26
tc0421,5,25,9
tc0422,5,38,8
tc0429,5,29,8
tc0430,5,26,11
tc0431,5,33,12
tc0436,5,26,11
tc0437,5,25,10
tc0438,5,26,10
tc0439,5,27,8
tc0440,5,31,10
tc0441,5,23,12
tc0444,5,34,8
tc0450,3,35,9
tc0453,3,47,10
tc0454,3,30,8
tc0458,3,43,8
tc0459,4,39,20
tc0461,3,32,7
tc0465,3,33,6
tc0467,3,40,8
tc0469,3,43,9
tc0472,3,40,6
tc0473,5,47,8
tc0475,3,27,9
tc0476,3,37,7
tc0484,7,31,17
tc0485,4,22,29
tc0486,4,22,11
tc0487,5,34,15
tc0488,5,39,18
tc0491,5,34,12
tc0493,5,29,8
tc0494,5,27,19
tc0495,5,37,9
tc0496,3,31,9
tc0497,5,47,12
tc0498,7,33,25
tc0499,6,30,13
tc0500,3,26,11
tc0501,3,23,8
tc0504,4,41,22
tc0506,3,21,11
tc0509,5,25,11
tc0510,4,31,22
tc0512,11,34,17
tc0513,6,33,58
tc0516,5,31,13
tc0520,5,39,12
tc0521,5,37,12
tc0522,5,41,12
tc0525,5,39,9
tc0526,5,50,12
tc0527,5,57,8
tc0528,5,44,11
tc0529,4,37,6
tc0530,5,38,7
tc0531,5,50,9
tc0532,5,41,10
tc0533,5,43,9
tc0540,5,30,10
tc0541,3,23,10
tc0545,5,35,10
tc0547,3,15,12
tc0548,5,57,10
tc0550,5,41,9
tc0551,5,45,7
tc0561,5,39,7
tc0562,5,27,8
tc0563,5,27,9
tc0564,5,37,9
tc0565,5,30,11
tc0566,5,36,9
tc0567,6,25,23
tc0569,6,34,25
tc0570,5,24,9
tc0573,5,42,12
tc0576,5,32,8
tc0578,6,37,53
tc0580,5,29,11
tc0581,6,44,29
tc0582,5,23,7
tc0583,7,32,9
tc0584,5,28,9
tc0585,5,35,16
tc0586,6,37,7
tc0587,6,30,8
tc0588,6,35,8
tc0589,4,23,12
tc0590,5,37,11
tc0591,5,29,8
tc0592,6,33,9
tc0593,3,26,8
tc0594,5,25,10
tc0596,3,24,13
tc0600,3,45,19
tc0601,5,38,12
tc0602,5,65,9
tc0603,4,29,15
tc0604,3,26,10
tc0605,4,39,10
tc0607,5,68,13
tc0608,5,49,10
tc0610,6,46,13
tc0612,5,27,9
tc0620,5,30,13
tc0622,5,33,10
tc0623,5,31,15
tc0625,5,25,10
tc0626,5,41,12
tc0627,5,20,10
tc0628,5,38,21
tc0629,6,30,8
tc0630,5,37,9
tc0641,3,10,18
tc0643,5,33,12
tc0644,5,31,7
tc0646,5,30,11
tc0648,5,29,16
tc0649,5,34,13
tc0650,5,32,9
tc0651,5,36,13
tc0652,5,24,10
tc0653,5,60,8
tc0654,5,31,10
tc0655,5,24,10
tc0656,5,33,12
tc0657,5,29,13
tc0658,5,36,10
tc0659,3,9,11
tc0660,5,29,11
tc0661,5,33,10
tc0662,5,23,15
tc0663,6,26,15
tc0664,5,46,14
tc0665,5,34,17
tc0666,5,23,19
tc0673,5,33,12
tc0677,5,26,9
tc0678,5,30,14
tc0679,5,29,8
tc0680,5,20,11
tc0681,5,18,11
tc0682,5,31,10
tc0688,5,33,19
tc0690,5,28,8
tc0691,5,18,9
tc0692,5,33,9
tc0694,5,34,11
tc0696,5,29,9
tc0698,5,36,10
tc0699,3,17,5
tc0700,5,31,8
tc0701,3,24,12
tc0702,5,31,8
tc0703,3,20,7
tc0704,5,30,9
tc0706,5,31,8
tc0707,5,20,10
tc0708,5,28,13
tc0709,5,30,7
tc0710,3,17,11
tc0711,3,30,8
tc0712,5,23,10
tc0713,5,32,12
tc0714,6,37,9
tc0715,4,31,15
tc0716,5,32,7
tc0718,5,29,7
tc0719,5,29,12
tc0722,5,32,12
tc0723,3,22,14
tc0724,5,25,11
tc0725,5,33,12
tc0726,5,27,12
tc0727,5,33,10
