idno,words,sents,mean,median,stdev,author-short,author-gender,title,year,genre,subgenre,cf-class
rv0087,46867,3805,12.32,8,11.3090398234,Simenon,male,MarieQuiLouche,1951,novel,roman,Simenon
rv0088,68650,5480,12.53,8,12.845175002,Simenon,male,Pedigree1,1941,novel,autob,Simenon
rv0089,65303,4170,15.66,10,15.0158788204,Simenon,male,Pedigree2,1942,novel,autob,Simenon
rv0090,65383,4359,15,10,14.6107403063,Simenon,male,Pedigree3,1943,novel,autob,Simenon
rv0091,37221,2596,14.34,10,13.5755706754,Simenon,male,TroisCrimesAmis,1937,novel,policier,Simenon
rv0092,39515,3406,11.6,9,9.1929526903,Simenon,male,MaigretSeFache,1945,novel,policier,Simenon
rv0093,41087,4281,9.6,8,6.8186289639,Simenon,male,DisparitionOdile,1970,novel,roman,Simenon
rv0094,42173,4163,10.13,8,7.1701159708,Simenon,male,MaigretHommeSeul,1971,novel,policier,Simenon
rv0095,43969,4425,9.94,8,8.0124642408,Simenon,male,VoleurMaigret,1966,novel,policier,Simenon
rv0096,118123,10518,11.23,8,9.9842712343,Simenon,male,TestamentDonadieu,1936,novel,roman,Simenon
rv0097,42232,3878,10.89,9,7.7361599077,Simenon,male,RicheHomme,1970,novel,roman,Simenon
rv0098,52689,2805,18.78,16,13.9643431598,Simenon,male,Fils,1956,novel,roman,Simenon
rv0099,52041,4350,11.96,8,10.8905441245,Simenon,male,BilanMaletras,1943,novel,roman,Simenon
rv0100,97401,7699,12.65,9,11.0406381184,Simenon,male,AineFerchaux,1943,novel,roman,Simenon
rv0101,50584,3199,15.81,9,17.2761027919,Simenon,male,FenetreRouet,1942,novel,roman,Simenon
rv0126,17079,655,26.07,25,13.8907039238,Echenoz,male,UnAn,1975,novel,blanche,contemporains
rv0166,192174,6031,31.86,22,31.4695533707,Perec,male,Vie,1978,novel,blanche,contemporains
rv0179,63089,2335,27.02,14,85.0799930205,Beckett,male,Innommable,1953,novel,blanche,contemporains
rv0180,52429,2861,18.33,13,17.6397802263,Beckett,male,Malone,1951,novel,blanche,contemporains
rv0181,36134,3625,9.97,7,10.2710344374,Beckett,male,MercierCamier,1970,novel,blanche,contemporains
rv0182,82655,5108,16.18,12,14.6393124521,Beckett,male,Molloy,1951,novel,blanche,contemporains
rv0183,65056,4178,15.57,12,13.7703014953,Beckett,male,Murphy,1947,novel,blanche,contemporains
rv0184,113049,1936,58.39,16,102.7162953388,Simon,male,Histoire,1967,novel,blanche,contemporains
rv0185,62588,1812,34.54,27,31.1067908687,Simon,male,Tryptique,1973,novel,blanche,contemporains
rv0187,59693,732,81.55,12,154.1898416779,Simon,male,Palace,1962,novel,blanche,contemporains
rv0189,72513,2231,32.5,17,74.8396155627,Simon,male,Bataille,1969,novel,blanche,contemporains
rv0190,62481,1227,50.92,8,144.9332153454,Simon,male,Herbe,1958,novel,blanche,contemporains
rv0192,95070,1281,74.22,12,175.7272177599,Simon,male,RouteFlandres,1960,novel,blanche,contemporains
rv0195,37341,1860,20.08,17,14.5643974382,RobbeGrillet,male,Jalousie,1957,novel,blanche,contemporains
rv0196,43993,3225,13.64,9,14.590619425,RobbeGrillet,male,Marienbad,1961,film-script,blanche,contemporains
rv0198,49968,1674,29.85,22,28.1063442257,RobbeGrillet,male,Souvenirs,1978,novel,blanche,contemporains
rv0199,75782,3750,20.21,17,15.490650315,RobbeGrillet,male,Voyeur,1953,novel,blanche,contemporains
rv0200,54953,5836,9.42,8,7.4423075383,BoilNarc,male,EtMonTout,1965,novel,blanche,contemporains
rv0203,29599,1403,21.1,14,21.7677892256,Perec,male,Choses,1965,novel,blanche,contemporains
rv0211,48699,3069,15.87,14,11.1131441416,Audoux,female,DouceLumiere,1937,novel,blanche,contemporains
rv0212,39489,3462,11.41,8,10.8846849096,Duras,female,Ravissement,1964,novel,blanche,contemporains
rv0213,88579,6587,13.45,11,10.2600957838,Duras,female,BarragePacifique,1950,novel,blanche,contemporains
rv0214,19372,1712,11.32,9,8.4105266463,Duras,female,ModeratoCantabile,1958,novel,blanche,contemporains
rv0217,17602,2912,6.04,5,4.5810091004,Duras,female,Detruire,1969,novel,blanche,contemporains
rv0218,57875,5544,10.44,9,7.1840561575,Duras,female,PetitsChevaux,1953,novel,blanche,contemporains
rv0219,112713,10296,10.95,9,8.3912345275,Duras,female,MarinGibraltar,1952,novel,blanche,contemporains
rv0220,51334,3844,13.35,12,8.5458520026,Duras,female,VieTranquille,1944,novel,blanche,contemporains
rv0221,48064,3598,13.36,10,11.4504211148,Duras,female,JourneesEntieres,1954,novel,blanche,contemporains
rv0223,33287,2098,15.87,12,12.6690920385,Bernanos,male,Mouchette,1937,novel,blanche,contemporains
rv0225,60390,3888,15.53,12,14.2159990424,Bernanos,male,MauvaisReve,1950,novel,blanche,contemporains
rv0233,34938,3201,10.91,9,8.1661846659,Modiano,male,Boulevards,1972,novel,blanche,contemporains
rv0236,46822,4510,10.38,8,9.1501215759,Modiano,male,RueBoutiques,1978,novel,blanche,contemporains
rv0240,45898,3878,11.84,9,9.3386109168,Modiano,male,VillaTriste,1975,novel,blanche,contemporains
rv0436,91369,6507,14.04,10,13.3937297016,Renard,male,MaitreLumiere,1933,novel,blanche,contemporains
rv0487,165451,11728,14.11,11,11.9044622541,Giono,male,HussardToit,1951,novel,blanche,contemporains
rv0488,64101,4154,15.43,11,15.0210797885,Giono,male,RoiSansDivertissement,1947,novel,blanche,contemporains
rv0489,67528,6348,10.64,8,9.7543607189,Giono,male,GrandTroupeau,1931,novel,blanche,contemporains
rv0490,81243,8106,10.02,8,9.0929682246,Giono,male,ChantMonde,1934,novel,blanche,contemporains
rv0491,97516,7803,12.5,9,12.5752620359,Malraux,male,ConditionHumaine,1933,novel,blanche,contemporains
rv0492,153343,11602,13.22,10,11.9722534063,Malraux,male,Espoir,1937,novel,blanche,contemporains
rv0493,73094,6369,11.48,9,8.5555892009,Giono,male,GrandsChemins,1951,novel,blanche,contemporains
rv0494,58226,3631,16.04,12,14.8163953196,Malraux,male,NoyersAltenburg,1943,novel,blanche,contemporains
rv0495,135163,6571,20.57,18,15.6363371141,Tournier,male,RoiAulnes,1970,novel,blanche,contemporains
rv0496,71013,3617,19.63,18,13.7409799208,Tournier,male,Vendredi,1967,novel,blanche,contemporains
rv0497,172424,9483,18.18,15,14.0463011386,Tournier,male,Meteores,1975,novel,blanche,contemporains
rv0499,77492,3925,19.74,17,13.9892327129,Tournier,male,Gaspard,1980,novel,blanche,contemporains
rv0500,112942,22225,5.08,4,4.4762311982,Celine,male,ChateauLAutre,1957,novel,blanche,contemporains
rv0501,89010,17721,5.02,4,5.0990623645,Celine,male,GuignolsBand1,1944,novel,blanche,contemporains
rv0502,193565,13743,14.08,11,12.4451516776,Celine,male,VoyageNuit,1932,novel,blanche,contemporains
rv0503,149149,27539,5.42,4,5.0888473518,Celine,male,Nord,1960,novel,blanche,contemporains
rv0504,36777,2781,13.22,10,11.994305059,Giono,male,SolitudePitie,1932,novel,blanche,contemporains
rv0505,74002,6428,11.51,9,10.7595343774,Giono,male,DeuxCavaliersOrage,1965,novel,blanche,contemporains
rv0506,88345,1848,47.81,30,54.9306196557,Butor,male,Modification,1957,novel,blanche,contemporains
rv0525,231507,31471,7.36,6,5.6984338692,Celine,male,MortCredit,1936,novel,blanche,contemporains
rv0536,180020,35967,5.01,4,4.4784667464,Celine,male,GuignolsBand2,1944,novel,blanche,contemporains
rv0537,59568,3772,15.79,13,12.3308604199,Giono,male,Angelo,1958,novel,blanche,contemporains
rv0538,36225,4045,8.96,7,7.9651277983,VianSullivan,male,EllesPasCompte,1950,novel,policier,contemporains
rv0539,51278,5073,10.11,8,8.5112928482,VianSullivan,male,OnTueraAffreux,1948,novel,policier,contemporains
rv0540,35842,3206,11.18,8,9.9525780451,VianSullivan,male,JiraiCracher,1946,novel,policier,contemporains
rv0541,54241,5565,9.75,7,10.5161344902,Vian,male,ArracheCoeur,1953,novel,blanche,contemporains
rv0542,71081,7728,9.2,6,9.3073142136,Vian,male,AutomnePekin,1947,novel,blanche,contemporains
rv0543,53623,5588,9.6,7,9.18129844,Vian,male,EcumeJours,1947,novel,blanche,contemporains
rv0544,39919,3723,10.72,8,10.0110176221,Vian,male,HerbeRouge,1950,novel,blanche,contemporains
rv0545,32538,3574,9.1,7,7.5698441642,VianSullivan,male,MortMemePeau,1947,novel,policier,contemporains
rv0546,97954,8304,11.8,8,14.1818054692,Queneau,male,Chiendent,1933,novel,blanche,contemporains
rv0547,38431,3140,12.24,9,11.0059535401,Queneau,male,Odile,1937,novel,blanche,contemporains
