,words,sents,mean,median,mode,stdev,idno,author,author-gender,title,pub-year,crt-year,genre,subgenre,narration,series,simenon3,corpus,romans-corpus
fr0012,44067,2196,20.0669398907,18,18,13.3505892408,fr0012,Simenon,male,PrixHomme,1980,1978,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0013,38056,1793,21.2247629671,20,21,12.5877715013,fr0013,Simenon,male,LibertesReste,1981,1978,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0014,39105,2282,17.1362839614,15,7,11.8655300944,fr0014,Simenon,male,PetitsHommes,1976,1975,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0015,19031,1184,16.0734797297,14,7,10.5969864112,fr0015,Simenon,male,LettreMere,1974,1974,essay,autobiographical,autodiegetic,none,autob,simenon,N/A
fr0016,45024,2342,19.2245943638,17,14,12.4518862818,fr0016,Simenon,male,SoixanteQuinzeAns,1980,1978,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0017,48793,2630,18.5524714829,16,7,12.0298149722,fr0017,Simenon,male,PointVirgule,1979,1977,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0018,122714,8528,14.3895403377,11,5,11.6988174454,fr0018,Simenon,male,QuandEtaisVieux,1970,1963,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0019,39370,2163,18.2015718909,16,4,12.1658692572,fr0019,Simenon,male,QuandVientFroid,1980,1978,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0020,42773,2106,20.3100664767,18,7,13.1253458615,fr0020,Simenon,male,TantVivant,1978,1976,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0021,55381,2686,20.6183916605,18,7,14.1823284619,fr0021,Simenon,male,BancSoleil,1977,1976,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0022,99405,6581,15.1048472876,13,6,10.245576431,fr0022,Simenon,male,HommeCommeAutre,1975,1974,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0023,43390,2335,18.5824411135,16,5,13.2226183493,fr0023,Simenon,male,VacancesObligatoires,1978,1976,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0024,57031,3041,18.7540282802,16,6,13.3973991345,fr0024,Simenon,male,VentNordSud,1976,1975,essay,autobiographical,autodiegetic,Dictées,autob,simenon,N/A
fr0025,60817,5767,10.5456910005,7,4,9.9227265003,fr0025,Simenon,male,LivreMarieJo,1981,1980,essay,autobiographical,epistolary,none,autob,simenon,N/A
fr0026,367764,22810,16.1229285401,14,4,12.2803423724,fr0026,Simenon,male,MemoiresIntimes,1981,1980,essay,autobiographical,heterodiegetic,Dictées,autob,simenon,N/A
rv0001,37619,3362,11.1894705532,9,N/A,8.9910443124,rv0001,Simenon,male,Ecluse,1933,1933,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0002,46187,3459,13.3527030934,10,4,10.4361894841,rv0002,Simenon,male,HommePetitChien,1964,1964,novel,psychological,autodiegetic,durs,romans,simenon,simenon
rv0003,44658,3685,12.1188602442,9,7,10.0678018849,rv0003,Simenon,male,InspecteurCadavre,1944,1943,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0004,40670,2760,14.7355072464,12,5,11.1253874756,rv0004,Simenon,male,OursPeluche,1960,1960,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0005,54231,3870,14.0131782946,11,7,11.1307048829,rv0005,Simenon,male,JumentPerdue,1948,1948,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0006,29372,2822,10.4082211198,8,2,9.1819494693,rv0006,Simenon,male,MaisonSeptFilles,1941,1941,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0007,40554,3747,10.8230584468,8,5,8.6524028258,rv0007,Simenon,male,MaisonJuge,1942,1940,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0008,48368,3474,13.922855498,11,6,11.1318745654,rv0008,Simenon,male,MortBelle,1952,1951,novel,policier,heterodiegetic,durs,romans,simenon,simenon
rv0009,36085,3445,10.4746008708,8,3,8.5718516556,rv0009,Simenon,male,NuitCarrefour,1931,1931,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0010,39963,3349,11.9328157659,9,5,9.9336689848,rv0010,Simenon,male,PatienceMaigret,1965,1965,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0011,39515,2817,14.0273340433,11,4,11.3132205057,rv0011,Simenon,male,Porte,1962,1962,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0012,37706,3182,11.8497800126,8,4,11.0210386038,rv0012,Simenon,male,Felicie,1944,1942,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0013,43169,3924,11.00127421,8,5,9.0057603271,rv0013,Simenon,male,VeriteBebeDonge,1942,1942,novel,policier,heterodiegetic,durs,romans,simenon,simenon
rv0014,60607,4710,12.8677282378,10,6,10.5584672323,rv0014,Simenon,male,JumentPerdue,1948,1948,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0015,37844,3437,11.0107652022,9,4,8.6741114805,rv0015,Simenon,male,ChienJaune,1931,1931,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0016,43278,3679,11.7635226964,9,4,9.2462941857,rv0016,Simenon,male,CoupLune,1933,1933,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0017,43175,2999,14.3964654885,10,5,14.3361678776,rv0017,Simenon,male,FuiteMonde,1945,1945,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0018,47557,3198,14.8708567855,12,6,11.4741145418,rv0018,Simenon,male,Horloger,1954,1954,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0019,44281,2978,14.8693754197,11,4,12.0943263155,rv0019,Simenon,male,Negre,1957,1957,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0020,43489,2730,15.93003663,13,4,11.7023781591,rv0020,Simenon,male,Dimanche,1958,1958,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0021,38036,3005,12.6575707155,9,4,10.2690047874,rv0021,Simenon,male,Betty,1961,1961,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0022,40771,2734,14.912582297,12,N/A,11.940202559,rv0022,Simenon,male,MortAuguste,1966,1966,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0023,46146,3888,11.8688271605,9,6,8.7651265759,rv0023,Simenon,male,MaigretEcole,1954,1954,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0024,37320,3100,12.0387096774,9,4,9.8443918018,rv0024,Simenon,male,MaigreVoleur,1961,1961,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0025,44242,2728,16.2177419355,12,4,14.7027320721,rv0025,Simenon,male,MonsieurGallet,1931,1931,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0026,44661,3244,13.7672626387,10,4,12.6147175325,rv0026,Simenon,male,MaigretHesite,1968,1968,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0027,36393,3086,11.7929358393,9,4,9.6120247317,rv0027,Simenon,male,MaigretClient,1962,1962,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0028,44859,4054,11.0653675382,8,4,9.1934437183,rv0028,Simenon,male,MaigretLognon,1952,1952,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0029,50922,3183,15.9981149859,12,6,15.0445770626,rv0029,Simenon,male,MaigretNewYork,1947,1947,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0030,39834,3498,11.3876500858,9,3,9.2348549618,rv0030,Simenon,male,PietrLetton,1931,1930,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0031,41390,3068,13.4908735332,10,6,11.9082863196,rv0031,Simenon,male,AffaireNahour,1966,1966,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0032,41368,4077,10.1466764778,9,5,6.842534724,rv0032,Simenon,male,FolleMaigret,1970,1970,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0033,40357,2815,14.3364120782,11,6,13.1637914734,rv0033,Simenon,male,TeteHomme,1931,1931,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0034,35007,2905,12.0506024096,9,5,11.1229022304,rv0034,Simenon,male,MaigretFlamands,1932,1932,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0035,36217,3091,11.7169200906,9,N/A,10.4349800122,rv0035,Simenon,male,FouBergerac,1932,1932,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0036,54641,4588,11.9095466434,9,6,10.8533003536,rv0036,Simenon,male,MaigretMort,1947,1947,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0037,48066,3699,12.9943227899,10,6,9.5476052968,rv0037,Simenon,male,AmieMmeMaigret,1950,1950,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0038,41831,4038,10.3593363051,8,5,8.5115602277,rv0038,Simenon,male,MaigretGrandePerche,1951,1951,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0039,45455,3344,13.5930023923,11,6,10.1616874202,rv0039,Simenon,male,ScrupulesMaigret,1957,1957,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0040,39585,2681,14.7650130548,10,5,14.2319460121,rv0040,Simenon,male,ConfidenceMaigret,1959,1959,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0041,38117,2676,14.2440209268,11,6,10.2187518934,rv0041,Simenon,male,MaigretAssises,1959,1959,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0042,38294,3099,12.3568893191,9,5,9.9023512518,rv0042,Simenon,male,MaigretVieillards,1960,1960,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0043,41791,2583,16.1792489353,12,6,13.3163946956,rv0043,Simenon,male,TrainVenise,1965,1965,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0044,43633,3286,13.2784540475,10,4,11.5593971982,rv0044,Simenon,male,Vieille,1959,1959,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0045,44248,4731,9.3527795392,7,5,7.4124241015,rv0045,Simenon,male,Prison,1967,1967,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0046,41059,3526,11.6446398185,9,5,9.0455413863,rv0046,Simenon,male,Demenagement,1967,1967,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0047,56928,4273,13.3227240814,10,6,10.4162823662,rv0047,Simenon,male,DestinMalou,1947,1947,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0048,48491,4370,11.0963386728,9,4,9.0550621949,rv0048,Simenon,male,FondBouteille,1949,1949,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0049,42630,4008,10.6362275449,8,4,8.0061356798,rv0049,Simenon,male,Locataire,1934,1934,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0050,50268,3265,15.3960183767,12,6,11.885916979,rv0050,Simenon,male,Temoins,1955,1955,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0051,47912,3797,12.6183829339,9,4,11.0615158887,rv0051,Simenon,male,TempsAnais,1951,1951,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0052,37584,3398,11.0606238964,8.5,4,8.6142823128,rv0052,Simenon,male,RelaisAlsace,1931,1931,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0053,43034,3721,11.5651706531,8,5,9.7707179823,rv0053,Simenon,male,RapportGendarme,1944,1944,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0054,39378,3348,11.7616487455,9,6,9.362119518,rv0054,Simenon,male,PassagerPolarlys,1932,1932,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0055,73964,5142,14.3842862699,12,6,10.5659074158,rv0055,Simenon,male,AnneauxBicetre,1963,1963,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0056,50042,4211,11.8836380907,9,6,9.0587017074,rv0056,Simenon,male,VacancesMaigret,1948,1948,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0057,43849,2938,14.9247787611,12,3,11.9181799924,rv0057,Simenon,male,Complices,1956,1956,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0058,36430,3185,11.4379905808,8,4,9.2641338942,rv0058,Simenon,male,DemoisellesConcarneau,1936,1936,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0059,43838,3926,11.1660723383,9,6,7.9684125638,rv0059,Simenon,male,EncoreNoisetiers,1969,1969,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0060,34766,3210,10.830529595,9,4,7.9493295648,rv0060,Simenon,male,Maigret,1934,1934,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0061,34666,3609,9.6054308673,7,4,7.6847005644,rv0061,Simenon,male,LibertyBar,1932,1932,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0062,35219,3158,11.1523115896,8,4,9.0166572004,rv0062,Simenon,male,MaigretClochard,1963,1963,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0063,37118,3711,10.0021557532,7,1,8.664997602,rv0063,Simenon,male,EchecMaigret,1956,1956,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0064,60607,4710,12.8677282378,10,6,10.5584672323,rv0064,Simenon,male,BourgmestreFurnes,1939,1938,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0065,38258,3015,12.6892205638,10,5,9.7465357143,rv0065,Simenon,male,MaigretFantome,1964,1964,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0066,38458,3374,11.398340249,8,4,9.9314877503,rv0066,Simenon,male,SignePicpus,1944,1941,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0067,41267,3048,13.5390419948,10,7,10.922888782,rv0067,Simenon,male,Malempin,1940,1940,novel,psychological,autodiegetic,durs,romans,simenon,simenon
rv0068,40038,3261,12.2778288868,9,4,10.2383775593,rv0068,Simenon,male,MaigretTendPiege,1955,1955,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0069,41825,3742,11.1771779797,8,5,9.3394265363,rv0069,Simenon,male,QuartierNegre,1935,1935,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0070,42399,3683,11.5120825414,9,4,8.9976346535,rv0070,Simenon,male,MaigretCoroner,1949,1949,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0071,42697,3946,10.8203243791,8,6,9.00114891,rv0071,Simenon,male,MaigretPeur,1953,1953,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0072,43019,3273,13.1435991445,10,6,10.6180315248,rv0072,Simenon,male,MonsieurLaSouris,1937,1937,novel,policier,heterodiegetic,durs,romans,simenon,simenon
rv0073,42803,3523,12.149588419,9,4,10.0265071182,rv0073,Simenon,male,CecileMorte,1942,1940,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0074,43971,3943,11.1516611717,9,4,8.5671299513,rv0074,Simenon,male,Maigret tueur,1969,1969,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0075,46473,4038,11.5089153046,9,6,8.9043842128,rv0075,Simenon,male,MonAmiMaigret,1949,1949,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0076,49144,3938,12.4794311833,9,6,11.4784762687,rv0076,Simenon,male,TouristeBananes,1938,1938,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0077,51737,3377,15.3204027243,12,6,12.5029498948,rv0077,Simenon,male,NouveauVille,1950,1950,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0078,55049,4075,13.5089570552,10,6,11.1522472694,rv0078,Simenon,male,AntoineJulie,1953,1953,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0079,102295,9375,10.9114666667,8,4,8.7909317964,rv0079,Simenon,male,LongCours,1936,1936,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0080,74796,5700,13.1221052632,10,4,10.5615573574,rv0080,Simenon,male,VoyageurToussaint,1941,1941,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0081,42669,4226,10.0967818268,9,5,6.8988262861,rv0081,Simenon,male,CageVerre,1971,1971,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0082,40668,3884,10.4706488157,9,6,7.1861316181,rv0082,Simenon,male,Innocents,1972,1971,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0083,41098,2711,15.1597196606,12,4,11.4047923522,rv0083,Simenon,male,Train,1961,1961,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0084,48046,4354,11.0349104272,8,5,9.0335552393,rv0084,Simenon,male,MaigretPicratts,1951,1950,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0085,38821,3843,10.1017434296,8,6,7.486499573,rv0085,Simenon,male,MaigretIndicateur,1971,1971,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0086,38503,3937,9.7797815596,8,6,7.0133598446,rv0086,Simenon,male,MaigretMonsieurCharles,1972,1972,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0087,46909,3701,12.6746825182,9,4,11.5333980188,rv0087,Simenon,male,MarieQuiLouche,1952,1951,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0088,68566,5341,12.8376708482,8,4,12.9965808635,rv0088,Simenon,male,Pedigree1,1948,1941,novel,autobiographical,heterodiegetic,none,romans,simenon,simenon
rv0089,65297,4050,16.1227160494,11,4,15.3869273529,rv0089,Simenon,male,Pedigree2,1948,1942,novel,autobiographical,heterodiegetic,none,romans,simenon,simenon
rv0090,65354,4277,15.2803366846,10,4,14.6747360621,rv0090,Simenon,male,Pedigree3,1948,1943,novel,autobiographical,heterodiegetic,none,romans,simenon,simenon
rv0091,37197,2507,14.8372556841,10,1,13.8921367697,rv0091,Simenon,male,TroisCrimesAmis,1938,1937,novel,policier,autodiegetic,none,romans,simenon,simenon
rv0092,39419,3313,11.898279505,9,6,9.2279173302,rv0092,Simenon,male,MaigretSeFache,1947,1945,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0093,41040,4158,9.8701298701,8,5,6.9972142834,rv0093,Simenon,male,DisparitionOdile,1971,1970,novel,pychological,heterodiegetic,durs,romans,simenon,simenon
rv0094,42167,4021,10.486694852,9,7,7.4398280609,rv0094,Simenon,male,MaigretHommeSeul,1971,1971,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0095,43933,4133,10.6298088556,8,4,8.5870051827,rv0095,Simenon,male,VoleurMaigret,1967,1966,novel,policier,heterodiegetic,Maigret,maigr,simenon,simenon
rv0096,117918,10172,11.5924105387,8,4,10.128267687,rv0096,Simenon,male,TestamentDonadieu,1937,1936,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0097,42159,3859,10.9248509977,9,6,7.7366978149,rv0097,Simenon,male,RicheHomme,1970,1970,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0098,52589,2768,18.998916185,16,6,13.9978708738,rv0098,Simenon,male,Fils,1957,1956,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0099,51937,4237,12.2579655417,9,6,10.9433609915,rv0099,Simenon,male,BilanMaletras,1948,1943,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0100,97279,7430,13.0927321669,10,6,11.2266932647,rv0100,Simenon,male,AineFerchaux,1945,1943,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0101,50481,3036,16.6274703557,10,4,17.5814279947,rv0101,Simenon,male,FenetreRouet,1945,1942,novel,psychological,heterodiegetic,durs,romans,simenon,simenon
rv0120,28068,1232,22.7824675325,21,22,13.5660870772,rv0120,Echenoz,male,Courir,2008,2008,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0121,50124,2024,24.7648221344,22,18,16.5484683882,rv0121,Echenoz,male,JeMenVais,1999,1999,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0122,68712,3843,17.8797814208,14,5,13.7330261804,rv0122,Echenoz,male,Equipee,1986,1986,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0123,54623,3227,16.9268670592,14,6,12.8985306109,rv0123,Echenoz,male,Blondes,1995,1995,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0124,44440,2400,18.5166666667,15,5,14.587885004,rv0124,Echenoz,male,NousTrois,1992,1992,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0125,20113,544,36.9724264706,33,28,22.6461992979,rv0125,Echenoz,male,Quatorze,2012,2012,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0126,17059,654,26.0840978593,25,22,13.9415761407,rv0126,Echenoz,male,UnAn,1975,1975,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0127,42317,1771,23.8944099379,20,8,18.4850154441,rv0127,Echenoz,male,Piano,2002,2002,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0128,35527,3398,10.4552678046,9,6,7.1357125349,rv0128,Dard,male,Coma,1959,1959,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0145,116571,8139,14.3225211942,10,1,13.4941359253,rv0145,Mirbeau,male,JournalFemmeChambre,1900,1900,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0150,34712,679,51.1222385862,42,24,35.9664557801,rv0150,Ravey,male,BureauIllettres,1992,1992,novel,blanche,autodiegetic,N/A,N/A,contemporains,contemporains
rv0151,22193,2252,9.8547957371,8,5,7.3304251185,rv0151,Ravey,male,EnlevementRancon,2010,2010,novel,policier,autodiegetic,N/A,N/A,contemporains,contemporains
rv0152,26210,2094,12.5167144222,10,5,9.3060279474,rv0152,Ravey,male,FilleMeilleurAmi,2014,2014,novel,blanche,autodiegetic,N/A,N/A,contemporains,contemporains
rv0153,9619,446,21.567264574,17,8,16.7337017998,rv0153,Ravey,male,Drap,2003,2003,novel,blanche,autodiegetic,N/A,N/A,contemporains,contemporains
rv0154,16923,1153,14.6773633998,12,5,10.6543086327,rv0154,Ravey,male,PrisPiege,2005,2005,novel,blanche,autodiegetic,N/A,N/A,contemporains,contemporains
rv0155,20360,1432,14.217877095,12,5,10.3545398764,rv0155,Ravey,male,NotairePeuOrdinaire,2013,2013,novel,blanche,autodiegetic,N/A,N/A,contemporains,contemporains
rv0156,74829,2024,36.9708498024,27,1,34.3272964374,rv0156,Proust,male,GuermantesR3a,1920,1920,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0157,83984,3024,27.7724867725,21,15,23.8888483128,rv0157,Proust,male,GuermantesR3b,1920,1920,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0158,89140,2893,30.8123055652,23,10,27.8292847837,rv0158,Proust,male,GuermantesR3c,1920,1920,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0159,112523,3779,29.7758666314,22,7,29.6583579288,rv0159,Proust,male,SodomeR4a,1921,1921,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0160,114098,4137,27.5798888083,21,12,24.2377527853,rv0160,Proust,male,SodomeR4c,1921,1921,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0161,83644,2577,32.4578967792,25,9,27.7010040864,rv0161,Proust,male,PrisonniereR5a,1923,1923,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0162,88727,2806,31.6204561654,23,14,30.0926627016,rv0162,Proust,male,PrisonniereR5b,1923,1923,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0163,115532,3397,34.0100088313,27,22,28.9698800051,rv0163,Proust,male,AlbertineR6,1925,1925,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0164,71587,2085,34.3342925659,27,17,28.7060183705,rv0164,Proust,male,TempsRetrouveR7a,1927,1927,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0165,79370,1965,40.3918575064,31,18,32.5601128916,rv0165,Proust,male,TempsRetrouveR7b,1927,1927,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0166,192231,5852,32.8487696514,23,3,32.3820198362,rv0166,Perec,male,Vie,1978,1978,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0170,64893,2828,22.9466053748,21,12,14.665542096,rv0170,Verne,male,InvasionMer,1905,1905,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0173,151223,8825,17.1357507082,14,8,12.0871030027,rv0173,Verne,male,NaufragesJonathan,1909,1909,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0179,62823,2334,26.9164524422,14,4,84.8396559822,rv0179,Beckett,male,Innommable,1953,1953,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0180,52266,2836,18.4294781382,13,5,17.6532269855,rv0180,Beckett,male,Malone,1951,1951,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0181,36087,3621,9.966031483,7,2,10.2604150799,rv0181,Beckett,male,MercierCamier,1970,1970,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0182,82456,5098,16.1741859553,12,5,14.6631279433,rv0182,Beckett,male,Molloy,1951,1951,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0183,65183,4183,15.5828352857,11,1,13.9714288527,rv0183,Beckett,male,Murphy,1947,1947,novel,blanche,heterodiegetic,N/A,N/A,contemporains,contemporains
rv0184,112988,1811,62.3898398675,17,2,110.8205796259,rv0184,Simon,male,Histoire,1967,1967,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
rv0185,62602,1778,35.209223847,28,21,33.2313546149,rv0185,Simon,male,Tryptique,1973,1973,novel,blanche,n.av.,N/A,N/A,contemporains,contemporains
