idno,words,sents,mean,median,stdev,idno,author,author-gender,title,year,supergenre,genre,subgenre,subsubgenre,narration,decade-pub
rv0554,88720,5396,16.44,13,13.1017623401,rv0554,Camus,male,Peste,1947,narrative,novel,blanche,blanche,n.av.,1940s
rv0556,40034,2688,14.89,12,12.1178729965,rv0556,Camus,male,MortHeureuse,1938,narrative,novel,blanche,blanche,n.av.,1930s
rv0558,31559,2102,15.01,13,11.0936803206,rv0558,Camus,male,Chute,1956,narrative,novel,blanche,blanche,n.av.,1950s
rv0559,35164,2305,15.26,13,9.7253496605,rv0559,Camus,male,Etranger,1942,narrative,novel,blanche,blanche,autodiegetic,1940s
rv0560,88016,4523,19.46,11,27.8873455701,rv0560,Camus,male,PremierHomme,1960,narrative,novel,blanche,blanche,n.av.,1960s
rv0576,13425,1595,8.42,8,3.0339503147,rv0576,Roussel,male,NouvellesImpressions,1932,narrative,novel,blanche,blanche,n.av.,1930s
rv0659,49015,3523,13.91,12,9.3732978966,rv0659,Ryck,male,ParisMourir,1969,narrative,novel,policier,noir,heterodiegetic,1960s
rv0660,51630,5106,10.11,8,8.1582272794,rv0660,Ryck,male,HeuresOuvrables,1963,narrative,novel,policier,noir,n.av.,1960s
rv0662,51352,3545,14.49,13,9.5956844232,rv0662,Ryck,male,DrolePistolet,1969,narrative,novel,policier,espionnage,heterodiegetic,1960s
rv0664,43859,3088,14.20,12,10.2631138685,rv0664,Ryck,male,PeauTorpedo,1968,narrative,novel,policier,noir,heterodiegetic,1960s
rv0665,50147,3377,14.85,13,10.1135335036,rv0665,Ryck,male,Incroyant,1970,narrative,novel,policier,espionnage,heterodiegetic,1970s
rv0666,52730,4356,12.11,10,9.6159236815,rv0666,Ryck,male,IntentionsPacifiques,1977,narrative,novel,policier,other,heterodiegetic,1970s
rv0668,47008,4211,11.16,9,8.2191388625,rv0668,Ryck,male,VoulezVousMourir,1973,narrative,novel,policier,noir,heterodiegetic,1970s
rv0669,42498,3438,12.36,11,7.7376883268,rv0669,Ryck,male,CimetiereDurs,1968,narrative,novel,policier,noir,heterodiegetic,1960s
rv0670,49593,3354,14.79,13,10.7461038912,rv0670,Ryck,male,FeuVertPoissonsRouges,1967,narrative,novel,policier,espionnage,heterodiegetic,1960s
