,idno,author,gender,title,year,2-year,5-year,decade,subgenre
rv0338,rv0338,Delly,mixed,EsclaveReine,1910,1910s,1910s,1910s,blanche
rv0573,rv0573,Roussel,male,ImpressionsAfrique,1910,1910s,1910s,1910s,blanche
rv0778,rv0778,Rolland,male,JeanChristophe08,1910,1910s,1910s,1910s,blanche
rv0779,rv0779,Rolland,male,JeanChristophe09,1911,1910s,1910s,1910s,blanche
rv0321,rv0321,Allais,male,Boomerang,1912,1912s,1910s,1910s,blanche
rv0780,rv0780,Rolland,male,JeanChristophe10,1912,1912s,1910s,1910s,blanche
rv0851,rv0851,Proust,male,CombrayR1a,1912,1912s,1910s,1910s,blanche
rv0326,rv0326,Delly,mixed,EntreDeuxAmes,1913,1912s,1910s,1910s,blanche
rv0394,rv0394,LeRouge,male,MysterieuxDrCornelius3,1913,1912s,1910s,1910s,blanche
rv0396,rv0396,LeRouge,male,MysterieuxDrCornelius1,1913,1912s,1910s,1910s,blanche
rv0852,rv0852,Proust,male,AmourSwannR1b,1913,1912s,1910s,1910s,blanche
rv0575,rv0575,Roussel,male,LocusSolus,1914,1914s,1910s,1910s,blanche
rv0922,rv0922,Benjamin,male,N/A,1915,1914s,1915s,1910s,blanche
rv0901,rv0901,Barbusse,male,Feu,1916,1916s,1915s,1910s,blanche
rv0201,rv0201,Rolland,male,ColasBreugnon,1919,1918s,1915s,1910s,blanche
rv0406,rv0406,Loti,male,PrimeJeunesse,1919,1918s,1915s,1910s,blanche
rv0685,rv0685,Bourget,male,LaurenceAlbani,1919,1918s,1915s,1910s,blanche
rv0748,rv0748,Loti,male,PrimeJeunesse,1919,1918s,1915s,1910s,blanche
rv0853,rv0853,Proust,male,JeunesFillesR2a,1919,1918s,1915s,1910s,blanche
rv0855,rv0855,Proust,male,JeunesFillesR2c,1919,1918s,1915s,1910s,blanche
rv0902,rv0902,Benoit,male,Atlantide,1919,1918s,1915s,1910s,blanche
rv1142,rv1142,Leblanc,male,TroisYeux,1919,1918s,1915s,1910s,blanche
rv0156,rv0156,Proust,male,GuermantesR3a,1920,1920s,1920s,1920s,blanche
rv0158,rv0158,Proust,male,GuermantesR3c,1920,1920s,1920s,1920s,blanche
rv0208,rv0208,Audoux,female,Atelier,1920,1920s,1920s,1920s,blanche
rv0159,rv0159,Proust,male,SodomeR4a,1921,1920s,1920s,1920s,blanche
rv0160,rv0160,Proust,male,SodomeR4c,1921,1920s,1920s,1920s,blanche
rv1143,rv1143,Leblanc,male,FormidableEvenement,1921,1920s,1920s,1920s,blanche
rv0710,rv0710,Colette,female,MaisonClaudine,1922,1922s,1920s,1920s,blanche
rv0762,rv0762,MduGard,male,Thibault1,1922,1922s,1920s,1920s,blanche
rv0161,rv0161,Proust,male,PrisonniereR5a,1923,1922s,1920s,1920s,blanche
rv0701,rv0701,Colette,female,BleHerbe,1923,1922s,1920s,1920s,blanche
rv0764,rv0764,MduGard,male,Thibault3,1923,1922s,1920s,1920s,blanche
rv0163,rv0163,Proust,male,AlbertineR6,1925,1924s,1925s,1920s,blanche
rv0911,rv0911,Benoit,male,PuitsJacob,1925,1924s,1925s,1920s,blanche
rv0207,rv0207,Audoux,female,VilleMoulin,1926,1926s,1925s,1920s,blanche
rv0224,rv0224,Bernanos,male,SoleilSatan,1926,1926s,1925s,1920s,blanche
rv0363,rv0363,Galopin,male,Aviateur,1926,1926s,1925s,1920s,blanche
rv0686,rv0686,Bourget,male,DanseurMondain,1926,1926s,1925s,1920s,blanche
rv0707,rv0707,Colette,female,FinDeCheri,1926,1926s,1925s,1920s,blanche
rv0164,rv0164,Proust,male,TempsRetrouveR7a,1927,1926s,1925s,1920s,blanche
rv0222,rv0222,Bernanos,male,Imposture,1927,1926s,1925s,1920s,blanche
rv0362,rv0362,Galopin,male,Bacille,1928,1928s,1925s,1920s,blanche
rv0381,rv0381,LeRouge,male,ValleeDesespoir,1928,1928s,1925s,1920s,blanche
rv0711,rv0711,Colette,female,NaissanceJour,1928,1928s,1925s,1920s,blanche
rv0765,rv0765,MduGard,male,Thibault4,1928,1928s,1925s,1920s,blanche
rv0766,rv0766,MduGard,male,Thibault5,1928,1928s,1925s,1920s,blanche
rv0713,rv0713,Colette,female,Seconde,1929,1928s,1925s,1920s,blanche
rv0767,rv0767,MduGard,male,Thibault6,1929,1928s,1925s,1920s,blanche
rv0903,rv0903,Bernanos,male,Joie,1929,1928s,1925s,1920s,blanche
rv0907,rv0907,Gide,male,ÉcoleFemmes,1929,1928s,1925s,1920s,blanche
rv0906,rv0906,Cohen,male,Solal,1930,1930s,1930s,1930s,blanche
rv0908,rv0908,Gide,male,Robert,1930,1930s,1930s,1930s,blanche
rv0921,rv0921,Giono,male,N/A,1930,1930s,1930s,1930s,blanche
rv0489,rv0489,Giono,male,GrandTroupeau,1931,1930s,1930s,1930s,blanche
rv0905,rv0905,Nizan,male,AdenArabie,1931,1930s,1930s,1930s,blanche
rv0502,rv0502,Celine,male,VoyageNuit,1932,1932s,1930s,1930s,blanche
rv0504,rv0504,Giono,male,SolitudePitie,1932,1932s,1930s,1930s,blanche
rv0436,rv0436,Renard,male,MaitreLumiere,1933,1932s,1930s,1930s,blanche
rv0491,rv0491,Malraux,male,ConditionHumaine,1933,1932s,1930s,1930s,blanche
rv0546,rv0546,Queneau,male,Chiendent,1933,1932s,1930s,1930s,blanche
rv0490,rv0490,Giono,male,ChantMonde,1934,1934s,1930s,1930s,blanche
rv0687,rv0687,Bourget,male,Laborantine,1934,1934s,1930s,1930s,blanche
rv0706,rv0706,Colette,female,Duo,1934,1934s,1930s,1930s,blanche
rv0912,rv0912,Bernanos,male,Crime,1935,1934s,1935s,1930s,blanche
rv0525,rv0525,Celine,male,MortCredit,1936,1936s,1935s,1930s,blanche
rv0768,rv0768,MduGard,male,Thibault7a,1936,1936s,1935s,1930s,blanche
rv0769,rv0769,MduGard,male,Thibault7b,1936,1936s,1935s,1930s,blanche
rv0909,rv0909,Gide,male,Geneviève,1936,1936s,1935s,1930s,blanche
rv0211,rv0211,Audoux,female,DouceLumiere,1937,1936s,1935s,1930s,blanche
rv0223,rv0223,Bernanos,male,Mouchette,1937,1936s,1935s,1930s,blanche
rv0492,rv0492,Malraux,male,Espoir,1937,1936s,1935s,1930s,blanche
rv0547,rv0547,Queneau,male,Odile,1937,1936s,1935s,1930s,blanche
rv0553,rv0553,Queneau,male,EnfantsLimon,1938,1938s,1935s,1930s,blanche
rv0556,rv0556,Camus,male,MortHeureuse,1938,1938s,1935s,1930s,blanche
rv0550,rv0550,Queneau,male,RudeHiver,1939,1938s,1935s,1930s,blanche
rv0714,rv0714,Colette,female,Toutounier,1939,1938s,1935s,1930s,blanche
rv0770,rv0770,MduGard,male,Thibault8,1940,1940s,1940s,1940s,blanche
rv0709,rv0709,Colette,female,JulieDeCarneilhan,1941,1940s,1940s,1940s,blanche
rv0552,rv0552,Queneau,male,PierrotMonAmi,1942,1942s,1940s,1940s,blanche
rv0559,rv0559,Camus,male,Etranger,1942,1942s,1940s,1940s,blanche
rv0494,rv0494,Malraux,male,NoyersAltenburg,1943,1942s,1940s,1940s,blanche
rv0220,rv0220,Duras,female,VieTranquille,1944,1944s,1940s,1940s,blanche
rv0501,rv0501,Celine,male,GuignolsBand1,1944,1944s,1940s,1940s,blanche
rv0536,rv0536,Celine,male,GuignolsBand2,1944,1944s,1940s,1940s,blanche
rv0183,rv0183,Beckett,male,Murphy,1947,1946s,1945s,1940s,blanche
rv0488,rv0488,Giono,male,RoiSansDivertissement,1947,1946s,1945s,1940s,blanche
rv0542,rv0542,Vian,male,AutomnePekin,1947,1946s,1945s,1940s,blanche
rv0543,rv0543,Vian,male,EcumeJours,1947,1946s,1945s,1940s,blanche
rv0554,rv0554,Camus,male,Peste,1947,1946s,1945s,1940s,blanche
rv0213,rv0213,Duras,female,BarragePacifique,1950,1950s,1950s,1950s,blanche
rv0225,rv0225,Bernanos,male,MauvaisReve,1950,1950s,1950s,1950s,blanche
rv0544,rv0544,Vian,male,HerbeRouge,1950,1950s,1950s,1950s,blanche
rv0180,rv0180,Beckett,male,Malone,1951,1950s,1950s,1950s,blanche
rv0182,rv0182,Beckett,male,Molloy,1951,1950s,1950s,1950s,blanche
rv0487,rv0487,Giono,male,HussardToit,1951,1950s,1950s,1950s,blanche
rv0493,rv0493,Giono,male,GrandsChemins,1951,1950s,1950s,1950s,blanche
rv0219,rv0219,Duras,female,MarinGibraltar,1952,1952s,1950s,1950s,blanche
rv0179,rv0179,Beckett,male,Innommable,1953,1952s,1950s,1950s,blanche
rv0199,rv0199,RobbeGrillet,male,Voyeur,1953,1952s,1950s,1950s,blanche
rv0218,rv0218,Duras,female,PetitsChevaux,1953,1952s,1950s,1950s,blanche
rv0541,rv0541,Vian,male,ArracheCoeur,1953,1952s,1950s,1950s,blanche
rv0221,rv0221,Duras,female,JourneesEntieres,1954,1954s,1950s,1950s,blanche
rv0558,rv0558,Camus,male,Chute,1956,1956s,1955s,1950s,blanche
rv0195,rv0195,RobbeGrillet,male,Jalousie,1957,1956s,1955s,1950s,blanche
rv0500,rv0500,Celine,male,ChateauLAutre,1957,1956s,1955s,1950s,blanche
rv0506,rv0506,Butor,male,Modification,1957,1956s,1955s,1950s,blanche
rv0190,rv0190,Simon,male,Herbe,1958,1958s,1955s,1950s,blanche
rv0214,rv0214,Duras,female,ModeratoCantabile,1958,1958s,1955s,1950s,blanche
rv0537,rv0537,Giono,male,Angelo,1958,1958s,1955s,1950s,blanche
rv0128,rv0128,Dard,male,Coma,1959,1958s,1955s,1950s,blanche
rv0192,rv0192,Simon,male,RouteFlandres,1960,1960s,1960s,1960s,blanche
rv0503,rv0503,Celine,male,Nord,1960,1960s,1960s,1960s,blanche
rv0560,rv0560,Camus,male,PremierHomme,1960,1960s,1960s,1960s,blanche
rv0196,rv0196,RobbeGrillet,male,Marienbad,1961,1960s,1960s,1960s,blanche
rv0187,rv0187,Simon,male,Palace,1962,1962s,1960s,1960s,blanche
rv0696,rv0696,LeClezio,male,ProcesVerbal,1963,1962s,1960s,1960s,blanche
rv0212,rv0212,Duras,female,Ravissement,1964,1964s,1960s,1960s,blanche
rv0200,rv0200,BoilNarc,male,EtMonTout,1965,1964s,1965s,1960s,blanche
rv0203,rv0203,Perec,male,Choses,1965,1964s,1965s,1960s,blanche
rv0505,rv0505,Giono,male,DeuxCavaliersOrage,1965,1964s,1965s,1960s,blanche
rv0549,rv0549,Queneau,male,FleursBleues,1965,1964s,1965s,1960s,blanche
rv0184,rv0184,Simon,male,Histoire,1967,1966s,1965s,1960s,blanche
rv0496,rv0496,Tournier,male,Vendredi,1967,1966s,1965s,1960s,blanche
rv0695,rv0695,Perec,male,HommeQuiDort,1967,1966s,1965s,1960s,blanche
rv0189,rv0189,Simon,male,Bataille,1969,1968s,1965s,1960s,blanche
rv0217,rv0217,Duras,female,Detruire,1969,1968s,1965s,1960s,blanche
rv0181,rv0181,Beckett,male,MercierCamier,1970,1970s,1970s,1970s,blanche
rv0495,rv0495,Tournier,male,RoiAulnes,1970,1970s,1970s,1970s,blanche
rv0233,rv0233,Modiano,male,Boulevards,1972,1972s,1970s,1970s,blanche
rv0185,rv0185,Simon,male,Tryptique,1973,1972s,1970s,1970s,blanche
rv0126,rv0126,Echenoz,male,UnAn,1975,1974s,1975s,1970s,blanche
rv0240,rv0240,Modiano,male,VillaTriste,1975,1974s,1975s,1970s,blanche
rv0497,rv0497,Tournier,male,Meteores,1975,1974s,1975s,1970s,blanche
rv0166,rv0166,Perec,male,Vie,1978,1978s,1975s,1970s,blanche
rv0198,rv0198,RobbeGrillet,male,Souvenirs,1978,1978s,1975s,1970s,blanche
rv0236,rv0236,Modiano,male,RueBoutiques,1978,1978s,1975s,1970s,blanche
rv0694,rv0694,Perec,male,CabinetAmateur,1979,1978s,1975s,1970s,blanche
rv0499,rv0499,Tournier,male,Gaspard,1980,1980s,1980s,1980s,blanche
rv0699,rv0699,LeClezio,male,Desert,1980,1980s,1980s,1980s,blanche
rv0186,rv0186,Simon,male,Georgiques,1981,1980s,1980s,1980s,blanche
rv0193,rv0193,RobbeGrillet,male,Djinn,1981,1980s,1980s,1980s,blanche
rv0238,rv0238,Modiano,male,Jeunesse,1981,1980s,1980s,1980s,blanche
rv0531,rv0531,Bon,male,SortieUsine,1982,1982s,1980s,1980s,blanche
rv0215,rv0215,Duras,female,Amant,1984,1984s,1980s,1980s,blanche
rv0234,rv0234,Modiano,male,QuartierPerdu,1984,1984s,1980s,1980s,blanche
rv0498,rv0498,Tournier,male,GoutteOr,1985,1984s,1985s,1980s,blanche
rv0517,rv0517,Toussaint,male,SalleBain,1985,1984s,1985s,1980s,blanche
rv0527,rv0527,Bon,male,Limite,1985,1984s,1985s,1980s,blanche
rv0700,rv0700,LeClezio,male,ChercheurOr,1985,1984s,1985s,1980s,blanche
rv0122,rv0122,Echenoz,male,Equipee,1986,1986s,1985s,1980s,blanche
rv0216,rv0216,Duras,female,YeuxBleus,1986,1986s,1985s,1980s,blanche
rv0229,rv0229,Modiano,male,Dimanches,1986,1986s,1985s,1980s,blanche
rv0521,rv0521,Toussaint,male,Monsieur,1986,1986s,1985s,1980s,blanche
rv0235,rv0235,Modiano,male,RemisePeine,1988,1988s,1985s,1980s,blanche
rv0518,rv0518,Toussaint,male,AppareilPhoto,1988,1988s,1985s,1980s,blanche
rv0188,rv0188,Simon,male,Acacia,1989,1988s,1985s,1980s,blanche
rv0239,rv0239,Modiano,male,Vestiaire,1989,1988s,1985s,1980s,blanche
rv0241,rv0241,Modiano,male,VoyageNoces,1990,1990s,1990s,1990s,blanche
rv0232,rv0232,Modiano,male,FleursRuine,1991,1990s,1990s,1990s,blanche
rv0526,rv0526,Bon,male,Enterrement,1991,1990s,1990s,1990s,blanche
rv0124,rv0124,Echenoz,male,NousTrois,1992,1992s,1990s,1990s,blanche
rv0150,rv0150,Ravey,male,BureauIllettres,1992,1992s,1990s,1990s,blanche
rv0698,rv0698,LeClezio,male,EtoileErrante,1992,1992s,1990s,1990s,blanche
rv0802,rv0802,Nothomb,female,HygieneAssassin,1992,1992s,1990s,1990s,blanche
rv0529,rv0529,Bon,male,TempsMachine,1993,1992s,1990s,1990s,blanche
rv0799,rv0799,Nothomb,female,SabotageAmoureux,1993,1992s,1990s,1990s,blanche
rv0123,rv0123,Echenoz,male,Blondes,1995,1994s,1995s,1990s,blanche
rv0522,rv0522,Manotti,male,SombreSentier,1995,1994s,1995s,1990s,blanche
rv0798,rv0798,Nothomb,female,Catilinaires,1995,1994s,1995s,1990s,blanche
rv0231,rv0231,Modiano,male,PlusLoinOubli,1996,1996s,1995s,1990s,blanche
rv0551,rv0551,Pecherot,male,Tiurai,1996,1996s,1995s,1990s,blanche
rv0795,rv0795,Nothomb,female,Peplum,1996,1996s,1995s,1990s,blanche
rv0202,rv0202,Bon,male,Autoroute,1997,1996s,1995s,1990s,blanche
rv0230,rv0230,Modiano,male,DoraBruder,1997,1996s,1995s,1990s,blanche
rv0519,rv0519,Toussaint,male,Television,1997,1996s,1995s,1990s,blanche
rv0791,rv0791,Nothomb,female,Attentat,1997,1996s,1995s,1990s,blanche
rv0209,rv0209,Viel,male,BlackNote,1998,1998s,1995s,1990s,blanche
rv1078,rv1078,Pouy,male,ASec,1998,1998s,1995s,1990s,blanche
rv0121,rv0121,Echenoz,male,JeMenVais,1999,1998s,1995s,1990s,blanche
rv0228,rv0228,Modiano,male,Inconnues,1999,1998s,1995s,1990s,blanche
rv1273,rv1273,Khadra,male,Revent,1999,1998s,1995s,1990s,blanche
rv1388,rv1388,Pelot,male,JeBrume,1973,1972s,1970s,1970s,fantasy
rv0915,rv0915,Jeury,male,JourVoies,1977,1976s,1975s,1970s,fantasy
rv0914,rv0914,Jeury,male,EnfantsMord,1979,1978s,1975s,1970s,fantasy
rv0919,rv0919,Benzoni,female,SuffitAmour,1963,1962s,1960s,1960s,historical
rv0918,rv0918,Benzoni,female,BelleCatherine,1966,1966s,1965s,1960s,historical
rv1120,rv1120,Leroux,male,DoubleVie,1903,1902s,1900s,1900s,policier
rv1042,rv1042,Leblanc,male,GentlemanCambrioleur,1907,1906s,1905s,1900s,policier
rv1054,rv1054,Leroux,male,MystereChambre,1907,1906s,1905s,1900s,policier
rv1037,rv1037,Leblanc,male,AiguilleCreuse,1909,1908s,1905s,1900s,policier
rv1041,rv1041,Leblanc,male,Frontiere,1911,1910s,1910s,1910s,policier
rv0579,rv0579,SouvAllain,male,MariageFantomas,1912,1912s,1910s,1910s,policier
rv0603,rv0603,SouvAllain,male,GuepeRouge,1912,1912s,1910s,1910s,policier
rv0583,rv0583,SouvAllain,male,CadavreGeant,1913,1912s,1910s,1910s,policier
rv1124,rv1124,Leroux,male,RouletabilleTsar,1913,1912s,1910s,1910s,policier
rv1049,rv1049,Leroux,male,ChateauNoir,1914,1914s,1910s,1910s,policier
rv0743,rv0743,Leroux,male,EtrangesNoces,1916,1916s,1915s,1910s,policier
rv1140,rv1140,Leblanc,male,EclatObus,1916,1916s,1915s,1910s,policier
rv1048,rv1048,Leroux,male,CapitaineHyx,1917,1916s,1915s,1910s,policier
rv1052,rv1052,Leroux,male,RouletabilleKrupp,1917,1918s,1915s,1910s,policier
rv1126,rv1126,Leroux,male,HommeRevientLoin,1917,1916s,1915s,1910s,policier
rv0744,rv0744,Leroux,male,RouletabilleBohémiens,1922,1922s,1920s,1920s,policier
rv0389,rv0389,LeRouge,male,DameNoire,1923,1922s,1920s,1920s,policier
rv1053,rv1053,Leroux,male,MachineAssassiner,1923,1922s,1920s,1920s,policier
rv1050,rv1050,Leroux,male,Tenebreuses1FinMonde,1924,1924s,1920s,1920s,policier
rv1145,rv1145,Leblanc,male,DemoiselleYeuxVerts,1927,1926s,1925s,1920s,policier
rv0009,rv0009,Simenon,male,NuitCarrefour,1931,1930s,1930s,1930s,policier
rv0033,rv0033,Simenon,male,TeteHomme,1931,1930s,1930s,1930s,policier
rv0061,rv0061,Simenon,male,LibertyBar,1932,1932s,1930s,1930s,policier
rv0001,rv0001,Simenon,male,Ecluse,1933,1932s,1930s,1930s,policier
rv1149,rv1149,Leblanc,male,FemmeDeuxSourires,1933,1932s,1930s,1930s,policier
rv1045,rv1045,Leblanc,male,MillardsLupin,1941,1940s,1940s,1940s,policier
rv0073,rv0073,Simenon,male,CecileMorte,1942,1942s,1940s,1940s,policier
rv0003,rv0003,Simenon,male,InspecteurCadavre,1944,1944s,1940s,1940s,policier
rv1222,rv1222,Malet,male,AubergeBanlieue,1945,1944s,1945s,1940s,policier
rv0540,rv0540,VianSullivan,male,JiraiCracher,1946,1946s,1945s,1940s,policier
rv0029,rv0029,Simenon,male,MaigretNewYork,1947,1946s,1945s,1940s,policier
rv0539,rv0539,VianSullivan,male,OnTueraAffreux,1948,1948s,1945s,1940s,policier
rv1131,rv1131,Malet,male,VieDegueulasse,1948,1948s,1945s,1940s,policier
rv1066,rv1066,Malet,male,Soleil,1949,1948s,1945s,1940s,policier
rv1192,rv1192,Dard,male,ReglezLuiCompte,1949,1948s,1945s,1940s,policier
rv0037,rv0037,Simenon,male,AmieMmeMaigret,1950,1950s,1950s,1950s,policier
rv0028,rv0028,Simenon,male,MaigretLognon,1952,1952s,1950s,1950s,policier
rv1194,rv1194,Dard,male,PassezMoiJoconde,1954,1954s,1950s,1950s,policier
rv0677,rv0677,Amila,male,BonneTisane,1955,1954s,1955s,1950s,policier
rv1134,rv1134,Malet,male,RatsMontsouris,1955,1954s,1955s,1950s,policier
rv1226,rv1226,Malet,male,Nuit,1955,1954s,1955s,1950s,policier
rv1135,rv1135,Malet,male,Corrida,1956,1956s,1955s,1950s,policier
rv1204,rv1204,Dard,male,BourreauPleure,1956,1956s,1955s,1950s,policier
rv1252,rv1252,BoilNarc,male,IngenieurChiffres,1958,1958s,1955s,1950s,policier
rv0041,rv0041,Simenon,male,MaigretAssises,1959,1958s,1955s,1950s,policier
rv1139,rv1139,Malet,male,EnvahissantCadavre,1959,1958s,1955s,1950s,policier
rv1102,rv1102,Dard,male,SiropGuepes,1960,1960s,1960s,1960s,policier
rv1269,rv1269,BoilNarc,male,Maldonne,1962,1962s,1960s,1960s,policier
rv1209,rv1209,Dard,male,MarchaitTombe,1963,1962s,1960s,1960s,policier
rv0065,rv0065,Simenon,male,MaigretFantome,1964,1964s,1960s,1960s,policier
rv1031,rv1031,Japrisot,male,DameAuto,1966,1966s,1965s,1960s,policier
rv1265,rv1265,BoilNarc,male,MortDit,1967,1966s,1965s,1960s,policier
rv0669,rv0669,Ryck,male,CimetiereDurs,1968,1968s,1965s,1960s,policier
rv1030,rv1030,Japrisot,male,AdieuAmi,1968,1968s,1965s,1960s,policier
rv1063,rv1063,Malet,male,DroleEpreuve,1968,1968s,1965s,1960s,policier
rv1061,rv1061,Malet,male,CroqueMort,1969,1968s,1965s,1960s,policier
rv0665,rv0665,Ryck,male,Incroyant,1970,1970s,1970s,1970s,policier
rv1065,rv1065,Malet,male,BurmaDansIle,1970,1970s,1970s,1970s,policier
rv1033,rv1033,Japrisot,male,CourseLievre,1972,1972s,1970s,1970s,policier
rv1057,rv1057,Malet,male,Abattoir,1972,1972s,1970s,1970s,policier
rv1073,rv1073,Manchette,male,PetitBleu,1976,1976s,1975s,1970s,policier
rv1198,rv1198,Dard,male,Concerto,1976,1976s,1975s,1970s,policier
rv0910,rv0910,Brussolo,male,Nuisible,1982,1982s,1980s,1980s,policier
rv0661,rv0661,Ryck,male,ConseilFamille,1983,1982s,1980s,1980s,policier
rv1231,rv1231,Echenoz,male,Cherokee,1983,1982s,1980s,1980s,policier
rv1248,rv1248,Daeninckx,male,PlayBack,1986,1986s,1985s,1980s,policier
rv0673,rv0673,Pennac,male,Malaussene2FeeCarabine,1987,1986s,1985s,1980s,policier
rv1246,rv1246,Daeninckx,male,LumiereNoire,1987,1986s,1985s,1980s,policier
rv1260,rv1260,BoilNarc,male,Poudriere,1987,1986s,1985s,1980s,policier
rv1276,rv1276,Magnan,male,Charbonniers,1988,1988s,1985s,1980s,policier
rv0682,rv0682,Pennac,male,Malaussene3PetiteMarchande,1989,1988s,1985s,1980s,policier
rv1190,rv1190,Dard,male,ValsezPouffiasses,1989,1988s,1985s,1980s,policier
rv1244,rv1244,Daeninckx,male,FacteurFatal,1990,1990s,1990s,1990s,policier
rv1079,rv1079,Pouy,male,BelleFontenay,1992,1992s,1990s,1990s,policier
rv0530,rv0530,Bon,male,FaitDivers,1994,1994s,1990s,1990s,policier
rv1249,rv1249,Daeninckx,male,ChateauBoheme,1994,1994s,1990s,1990s,policier
rv0678,rv0678,Pennac,male,Malaussene4MonsieurM,1995,1994s,1995s,1990s,policier
rv0674,rv0674,Pennac,male,Malaussene5ChretiensMaures,1996,1996s,1995s,1990s,policier
rv1069,rv1069,Manchette,male,Iris,1997,1996s,1995s,1990s,policier
rv0690,rv0690,Khadra,male,DoubleBlanc,1998,1998s,1995s,1990s,policier
rv0810,rv0810,Pelot,male,JourEnfantTueur,1999,1998s,1995s,1990s,policier
rv1095,rv1095,Vargas,female,HommeEnvers,1999,1998s,1995s,1990s,policier
rv1463,rv1463,RosnyAine,male,FelinGeant,1918,1918s,1915s,1910s,prehistorical
rv0049,rv0049,Simenon,male,Locataire,1934,1934s,1930s,1930s,psychological
rv0069,rv0069,Simenon,male,QuartierNegre,1935,1934s,1935s,1930s,psychological
rv0067,rv0067,Simenon,male,Malempin,1940,1940s,1940s,1940s,psychological
rv0053,rv0053,Simenon,male,RapportGendarme,1944,1944s,1940s,1940s,psychological
rv0017,rv0017,Simenon,male,FuiteMonde,1945,1944s,1945s,1940s,psychological
rv0101,rv0101,Simenon,male,FenetreRouet,1945,1944s,1945s,1940s,psychological
rv0005,rv0005,Simenon,male,JumentPerdue,1948,1948s,1945s,1940s,psychological
rv0077,rv0077,Simenon,male,NouveauVille,1950,1950s,1950s,1950s,psychological
rv0087,rv0087,Simenon,male,MarieQuiLouche,1952,1952s,1950s,1950s,psychological
rv0057,rv0057,Simenon,male,Complices,1956,1956s,1955s,1950s,psychological
rv0021,rv0021,Simenon,male,Betty,1961,1960s,1960s,1960s,psychological
rv0045,rv0045,Simenon,male,Prison,1967,1966s,1965s,1960s,psychological
rv0097,rv0097,Simenon,male,RicheHomme,1970,1970s,1970s,1970s,psychological
rv0081,rv0081,Simenon,male,CageVerre,1971,1970s,1970s,1970s,psychological
rv0093,rv0093,Simenon,male,DisparitionOdile,1971,1970s,1970s,1970s,psychological
rv0904,rv0904,Cami,male,FilsMousquetaires,1919,1918s,1915s,1910s,satirique
rv0917,rv0917,Andrevon,male,TempsGrandesChasses,1973,1972s,1970s,1970s,science-fiction
rv0920,rv0920,Andrevon,male,DieuLumière,1973,1972s,1970s,1970s,science-fiction
rv0916,rv0916,Pelot,female,DeliriumCircus,1977,1976s,1975s,1970s,science-fiction
rv0803,rv0803,Pelot,male,BalladePresqueHomme,1974,1974s,1970s,1970s,science-fiction
