idno,author,author-gender,title,pub-year,creation,genre,subgenre,series,words,sents,mean,median,stdev
rv0490,Giono,male,ChantMonde,1934,1934,novel,blanche,autre,81243,8106,10.0225758697,8,9.0929682246
rv0687,Bourget,male,Laborantine,1934,1934,novel,blanche,autre,38156,2431,15.6955985191,12,12.4900740994
rv0706,Colette,female,Duo,1934,1934,novel,blanche,autre,32183,2937,10.9577800477,8,10.5211618507
rv1040,Leblanc,male,ChapeletRouge,1934,1934,novel,policier,autre,48035,4406,10.902178847,8,9.8061191384
rv1039,Leblanc,male,CagliostroSeVenge,1935,1935,novel,policier,autre,53716,4670,11.5023554604,8,10.5646523284
rv0525,Celine,male,MortCredit,1936,1936,novel,blanche,autre,231507,31471,7.3562009469,6,5.6984338692
rv0768,MduGard,male,Thibault7a,1936,1936,novel,blanche,autre,136582,9619,14.1991891049,10,14.2458488606
rv0769,MduGard,male,Thibault7b,1936,1936,novel,blanche,autre,143951,10999,13.0876443313,9,13.3696272396
rv0211,Audoux,female,DouceLumiere,1937,1937,novel,blanche,autre,48699,3069,15.8680351906,14,11.1131441416
rv0223,Bernanos,male,Mouchette,1937,1937,novel,blanche,autre,33287,2098,15.8660629171,12,12.6690920385
rv0492,Malraux,male,Espoir,1937,1937,novel,blanche,autre,153343,11602,13.2169453542,10,11.9722534063
rv0547,Queneau,male,Odile,1937,1937,novel,blanche,autre,38431,3140,12.2391719745,9,11.0059535401
rv0553,Queneau,male,EnfantsLimon,1938,1938,novel,blanche,autre,100432,7199,13.9508265037,9,16.3238538001
rv0556,Camus,male,MortHeureuse,1938,1938,novel,blanche,autre,40034,2688,14.8936011905,12,12.1178729965
rv0550,Queneau,male,RudeHiver,1939,1939,novel,blanche,autre,29493,2703,10.9112097669,8,10.3256751486
rv0714,Colette,female,Toutounier,1939,1939,novel,blanche,autre,19490,1982,9.8335015136,7,8.9347069704
rv0770,MduGard,male,Thibault8,1940,1940,novel,blanche,autre,93253,6994,13.3332856734,9,13.59089183
rv0709,Colette,female,JulieDeCarneilhan,1941,1941,novel,blanche,autre,38431,3826,10.0446941976,7,10.0931282655
rv1045,Leblanc,male,MillardsLupin,1941,1941,novel,policier,autre,46960,4215,11.1411625148,8,10.4897510654
rv1220,Malet,male,Johnny,1941,1941,novel,policier,autre,38564,3389,11.3791678961,9,8.7005148224
rv0552,Queneau,male,PierrotMonAmi,1942,1942,novel,blanche,autre,54618,4567,11.9592730458,8,12.0866735647
