,idno,author-name,author-gender,title,year,supergenre,genre,subgenre,subsubgenre,narration,protagonist-policier,decade
rf0044,rf0044,Loti,male,Figures,1898,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0406,rf0406,Loti,male,PrimeJeunesse,1919,narrative,novel,blanche,blanche,n.av.,n.av.,1910s
rf1278,rf1278,Magnan,male,Laure,2006,narrative,novel,blanche,education,heterodiegetic,n.av.,2000s
rf0409,rf0409,Malot,male,RomainKalbris,1869,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0420,rf0420,Malot,male,BonneAffaire,1870,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0416,rf0416,Malot,male,ClotildeMartory,1873,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0417,rf0417,Malot,male,BelleMere,1874,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0410,rf0410,Malot,male,SansFamille,1878,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0413,rf0413,Malot,male,FemmeArgent,1881,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0411,rf0411,Malot,male,Ghislaine,1887,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0415,rf0415,Malot,male,Conscience,1888,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0418,rf0418,Malot,male,Anie,1891,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0414,rf0414,Malot,male,EnFamille,1893,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0491,rf0491,Malraux,male,ConditionHumaine,1933,narrative,novel,blanche,blanche,n.av.,n.av.,1930s
rf0492,rf0492,Malraux,male,Espoir,1937,narrative,novel,blanche,blanche,n.av.,n.av.,1930s
rf0494,rf0494,Malraux,male,NoyersAltenburg,1943,narrative,novel,blanche,blanche,n.av.,n.av.,1940s
rf0423,rf0423,Mary,male,RogerLaHonte,1886,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0424,rf0424,Mary,male,RevancheRoger1,1889,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0421,rf0421,Mary,male,FillesPocharde,1898,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0422,rf0422,Mary,male,Pocharde,1898,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0056,rf0056,Maupassant,male,UneVie,1883,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1880s
rf0052,rf0052,Maupassant,male,BelAmi,1885,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1880s
rf0055,rf0055,Maupassant,male,PierreJean,1888,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1880s
rf0053,rf0053,Maupassant,male,FortMort,1889,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1880s
rf0063,rf0063,MduGard,male,Thibault2,1922,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0062,rf0062,MduGard,male,Thibault1,1922,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0064,rf0064,MduGard,male,Thibault3,1923,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0065,rf0065,MduGard,male,Thibault4,1928,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0066,rf0066,MduGard,male,Thibault5,1928,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0067,rf0067,MduGard,male,Thibault6,1929,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0068,rf0068,MduGard,male,Thibault7a,1936,narrative,novel,blanche,blanche,n.av.,n.av.,1930s
rf0069,rf0069,MduGard,male,Thibault7b,1936,narrative,novel,blanche,blanche,n.av.,n.av.,1930s
rf0070,rf0070,MduGard,male,Thibault8,1940,narrative,novel,blanche,blanche,n.av.,n.av.,1940s
rf0426,rf0426,Mirbeau,male,Marechale,1883,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0148,rf0148,Mirbeau,male,AbbeJules,1888,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0147,rf0147,Mirbeau,male,SebastienRoch,1890,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0144,rf0144,Mirbeau,male,JardinSupplices,1899,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0145,rf0145,Mirbeau,male,JournalFemmeChambre,1900,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0233,rf0233,Modiano,male,BoulevardsCeinture,1972,narrative,novel,blanche,blanche,n.av.,n.av.,1970s
rf0240,rf0240,Modiano,male,VillaTriste,1975,narrative,novel,blanche,blanche,n.av.,n.av.,1970s
rf0238,rf0238,Modiano,male,Jeunesse,1981,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0234,rf0234,Modiano,male,QuartierPerdu,1984,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0229,rf0229,Modiano,male,Dimanches,1986,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0235,rf0235,Modiano,male,RemisePeine,1988,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0239,rf0239,Modiano,male,Vestiaire,1989,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0241,rf0241,Modiano,male,VoyageNoces,1990,narrative,novel,blanche,blanche,n.av.,n.av.,1990s
rf0232,rf0232,Modiano,male,FleursRuine,1991,narrative,novel,blanche,blanche,n.av.,n.av.,1990s
rf0237,rf0237,Modiano,male,CirquePasse,1992,narrative,novel,blanche,blanche,n.av.,n.av.,1990s
rf0231,rf0231,Modiano,male,PlusLoinOubli,1996,narrative,novel,blanche,blanche,n.av.,n.av.,1990s
rf0230,rf0230,Modiano,male,DoraBruder,1997,narrative,novel,blanche,blanche,n.av.,n.av.,1990s
rf0228,rf0228,Modiano,male,Inconnues,1999,narrative,novel,blanche,blanche,n.av.,n.av.,1990s
rf0656,rf0656,Ohnet,male,GrandeMarnière,1885,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1880s
rf0657,rf0657,Ohnet,male,AmePierre,1890,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0658,rf0658,Ohnet,male,Batailles1MarchandPoison,1892,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1890s
rf0551,rf0551,Pecherot,male,Tiurai,1996,narrative,novel,blanche,blanche,n.av.,n.av.,1990s
rf0534,rf0534,Pecherot,male,BrouillardsButte,2001,narrative,novel,blanche,blanche,n.av.,n.av.,2000s
rf0557,rf0557,Pecherot,male,BellevilleBarcelone,2003,narrative,novel,blanche,blanche,n.av.,n.av.,2000s
rf0532,rf0532,Pecherot,male,BoulevardBranques,2005,narrative,novel,blanche,blanche,n.av.,n.av.,2000s
rf0535,rf0535,Pecherot,male,SoleilNoir,2007,narrative,novel,blanche,blanche,n.av.,n.av.,2000s
rf0533,rf0533,Pecherot,male,Tranchecaille,2008,narrative,novel,blanche,blanche,n.av.,n.av.,2000s
rf0674,rf0674,Pennac,male,Malaussene5ChretiensMaures,1996,narrative,novel,blanche,other,homodiegetic,n.av.,1990s
rf0203,rf0203,Perec,male,Choses,1965,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1960s
rf0695,rf0695,Perec,male,HommeQuiDort,1967,narrative,novel,blanche,blanche,n.av.,n.av.,1960s
rf0166,rf0166,Perec,male,VieModeEmploi,1978,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1970s
rf0694,rf0694,Perec,male,CabinetAmateur,1979,narrative,novel,blanche,blanche,n.av.,n.av.,1970s
rf1181,rf1181,Pouy,male,SpinozaHegel,1983,narrative,novel,blanche,sciencefiction,homodiegetic,criminal,1980s
rf1078,rf1078,Pouy,male,ASec,1998,narrative,novel,blanche,sciencefiction,mixed,n.av.,1990s
rf0152,rf0152,Proust,male,AmourSwannR1b,1913,narrative,novel,blanche,blanche,n.av.,n.av.,1910s
rf0154,rf0154,Proust,male,JeunesFillesR2b,1913,narrative,novel,blanche,blanche,n.av.,n.av.,1910s
rf0151,rf0151,Proust,male,CombrayR1a,1913,narrative,novel,blanche,blanche,n.av.,n.av.,1910s
rf0155,rf0155,Proust,male,JeunesFillesR2c,1913,narrative,novel,blanche,blanche,n.av.,n.av.,1910s
rf0153,rf0153,Proust,male,JeunesFillesR2a,1913,narrative,novel,blanche,blanche,n.av.,n.av.,1910s
rf0156,rf0156,Proust,male,GuermantesR3a,1920,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0157,rf0157,Proust,male,GuermantesR3b,1920,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0158,rf0158,Proust,male,GuermantesR3c,1920,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0160,rf0160,Proust,male,SodomeR4c,1921,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0159,rf0159,Proust,male,SodomeR4a,1921,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0161,rf0161,Proust,male,PrisonniereR5a,1923,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0162,rf0162,Proust,male,PrisonniereR5b,1923,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0163,rf0163,Proust,male,AlbertineR6,1925,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0165,rf0165,Proust,male,TempsRetrouveR7b,1927,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0164,rf0164,Proust,male,TempsRetrouveR7a,1927,narrative,novel,blanche,blanche,n.av.,n.av.,1920s
rf0546,rf0546,Queneau,male,Chiendent,1933,narrative,novel,blanche,blanche,n.av.,n.av.,1930s
rf0547,rf0547,Queneau,male,Odile,1937,narrative,novel,blanche,blanche,homodiegetic,n.av.,1930s
rf0553,rf0553,Queneau,male,EnfantsLimon,1938,narrative,novel,blanche,blanche,n.av.,n.av.,1930s
rf0550,rf0550,Queneau,male,RudeHiver,1939,narrative,novel,blanche,blanche,n.av.,n.av.,1930s
rf0552,rf0552,Queneau,male,PierrotMonAmi,1942,narrative,novel,blanche,blanche,n.av.,n.av.,1940s
rf0549,rf0549,Queneau,male,FleursBleues,1965,narrative,novel,blanche,other,heterodiegetic,n.av.,1960s
rf0199,rf0199,RobbeGrillet,male,Voyeur,1953,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0195,rf0195,RobbeGrillet,male,Jalousie,1957,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0198,rf0198,RobbeGrillet,male,Souvenirs,1978,narrative,novel,blanche,blanche,n.av.,n.av.,1970s
rf0193,rf0193,RobbeGrillet,male,Djinn,1981,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0197,rf0197,RobbeGrillet,male,Reprise,2001,narrative,novel,blanche,blanche,n.av.,n.av.,2000s
rf0718,rf0718,Rodenbach,male,BrugesLaMorte,1892,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0717,rf0717,Rodenbach,male,Carillonneur,1897,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0071,rf0071,Rolland,male,JeanChristophe01,1904,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0073,rf0073,Rolland,male,JeanChristophe03,1904,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0072,rf0072,Rolland,male,JeanChristophe02,1904,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0074,rf0074,Rolland,male,JeanChristophe04,1905,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0077,rf0077,Rolland,male,JeanChristophe07,1908,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0075,rf0075,Rolland,male,JeanChristophe05,1908,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0076,rf0076,Rolland,male,JeanChristophe06,1908,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0078,rf0078,Rolland,male,JeanChristophe08,1910,narrative,novel,blanche,blanche,n.av.,n.av.,1910s
rf0079,rf0079,Rolland,male,JeanChristophe09,1911,narrative,novel,blanche,blanche,n.av.,n.av.,1910s
rf0080,rf0080,Rolland,male,JeanChristophe10,1912,narrative,novel,blanche,blanche,n.av.,n.av.,1910s
rf0201,rf0201,Rolland,male,ColasBreugnon,1919,narrative,novel,blanche,blanche,n.av.,n.av.,1910s
rf0574,rf0574,Roussel,male,Doublure,1897,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0573,rf0573,Roussel,male,ImpressionsAfrique,1910,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1910s
rf0575,rf0575,Roussel,male,LocusSolus,1914,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1910s
rf0576,rf0576,Roussel,male,NouvellesImpressions,1932,narrative,novel,blanche,blanche,n.av.,n.av.,1930s
rf0721,rf0721,SaintExupery,male,VolNuit,1931,narrative,novel,blanche,blanche,n.av.,n.av.,1930s
rf0726,rf0726,SaintExupery,male,PiloteGuerre,1942,narrative,novel,blanche,blanche,n.av.,n.av.,1940s
rf0474,rf0474,Sand,female,Compagnon,1840,narrative,novel,blanche,blanche,n.av.,n.av.,1840s
rf0454,rf0454,Sand,female,Horace,1841,narrative,novel,blanche,blanche,n.av.,n.av.,1840s
rf0460,rf0460,Sand,female,Consuelo2,1842,narrative,novel,blanche,blanche,n.av.,n.av.,1840s
rf0459,rf0459,Sand,female,Consuelo3,1842,narrative,novel,blanche,blanche,n.av.,n.av.,1840s
rf0461,rf0461,Sand,female,Consuelo1,1842,narrative,novel,blanche,blanche,n.av.,n.av.,1840s
rf0443,rf0443,Sand,female,Rudolstadt1,1843,narrative,novel,blanche,blanche,n.av.,n.av.,1840s
rf0442,rf0442,Sand,female,Rudolstadt2,1843,narrative,novel,blanche,blanche,n.av.,n.av.,1840s
rf0452,rf0452,Sand,female,Jeanne,1844,narrative,novel,blanche,blanche,n.av.,n.av.,1840s
rf0446,rf0446,Sand,female,MeunierAngibault,1845,narrative,novel,blanche,blanche,n.av.,n.av.,1840s
rf0440,rf0440,Sand,female,Teverino,1845,narrative,novel,blanche,blanche,n.av.,n.av.,1840s
rf0444,rf0444,Sand,female,PecheAntoine,1845,narrative,novel,blanche,blanche,n.av.,n.av.,1840s
rf0450,rf0450,Sand,female,LucreziaFloriani,1846,narrative,novel,blanche,blanche,n.av.,n.av.,1840s
rf0448,rf0448,Sand,female,MareDiable,1846,narrative,novel,blanche,blanche,n.av.,n.av.,1840s
rf0471,rf0471,Sand,female,FrancoisChampi,1848,narrative,novel,blanche,blanche,n.av.,n.av.,1840s
rf0472,rf0472,Sand,female,PetiteFadette,1849,narrative,novel,blanche,blanche,n.av.,n.av.,1840s
rf0462,rf0462,Sand,female,ChateauDesertes,1851,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0449,rf0449,Sand,female,MaitresSonneurs,1853,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0457,rf0457,Sand,female,DamesVertes,1857,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0456,rf0456,Sand,female,ElleLui,1859,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0458,rf0458,Sand,female,DernierAmour,1866,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0455,rf0455,Sand,female,Francia,1871,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0445,rf0445,Sand,female,Nanon,1872,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0112,rf0112,Simenon,male,CoupLune,1933,narrative,novel,blanche,blanche,n.av.,n.av.,1930s
rf0113,rf0113,Simenon,male,FuiteMonde,1945,narrative,novel,blanche,blanche,n.av.,n.av.,1940s
rf0114,rf0114,Simenon,male,Horloger,1954,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0115,rf0115,Simenon,male,Negre,1957,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0116,rf0116,Simenon,male,Dimanche,1958,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0117,rf0117,Simenon,male,Betty,1961,narrative,novel,blanche,blanche,n.av.,n.av.,1960s
rf0118,rf0118,Simenon,male,MortAuguste,1966,narrative,novel,blanche,blanche,n.av.,n.av.,1960s
rf0190,rf0190,Simon,male,Herbe,1958,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0192,rf0192,Simon,male,RouteFlandres,1960,narrative,novel,blanche,blanche,n.av.,n.av.,1960s
rf0187,rf0187,Simon,male,Palace,1962,narrative,novel,blanche,blanche,n.av.,n.av.,1960s
rf0184,rf0184,Simon,male,Histoire,1967,narrative,novel,blanche,blanche,n.av.,n.av.,1960s
rf0189,rf0189,Simon,male,Bataille,1969,narrative,novel,blanche,blanche,n.av.,n.av.,1960s
rf0185,rf0185,Simon,male,Tryptique,1973,narrative,novel,blanche,blanche,n.av.,n.av.,1970s
rf0186,rf0186,Simon,male,Georgiques,1981,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0188,rf0188,Simon,male,Acacia,1989,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0191,rf0191,Simon,male,Tramway,2001,narrative,novel,blanche,blanche,n.av.,n.av.,2000s
rf0476,rf0476,Stolz,female,MaisonRoulante,1869,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0485,rf0485,Stolz,female,BlancheNoire,1872,narrative,novel,blanche,n.av.,n.av.,n.av.,1870s
rf0479,rf0479,Stolz,female,TresorNanette,1872,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0478,rf0478,Stolz,female,PochesOncle,1874,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0484,rf0484,Stolz,female,DessusHaie,1874,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0482,rf0482,Stolz,female,SecretLaurent,1878,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0481,rf0481,Stolz,female,Mesaventures,1881,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0480,rf0480,Stolz,female,MaisonBlanche,1884,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0475,rf0475,Stolz,female,ViolenceBonté,1888,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0483,rf0483,Stolz,female,FamilleCoquelicot,1892,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0128,rf0128,Sue,male,MysteresParis02,1842,narrative,novel,blanche,blanche,n.av.,n.av.,1840s
rf0127,rf0127,Sue,male,MysteresParis01,1842,narrative,novel,blanche,blanche,n.av.,n.av.,1840s
rf0129,rf0129,Sue,male,MysteresParis04,1843,narrative,novel,blanche,blanche,n.av.,n.av.,1840s
rf0130,rf0130,Sue,male,MysteresParis05,1843,narrative,novel,blanche,blanche,n.av.,n.av.,1840s
rf0131,rf0131,Sue,male,MysteresPeuple02,1849,narrative,novel,blanche,blanche,n.av.,n.av.,1840s
rf0132,rf0132,Sue,male,MysteresPeuple03,1850,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0133,rf0133,Sue,male,MysteresPeuple04,1850,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0134,rf0134,Sue,male,MysteresPeuple06,1851,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0135,rf0135,Sue,male,MysteresPeuple07,1851,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0136,rf0136,Sue,male,MysteresPeuple08,1853,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0137,rf0137,Sue,male,MysteresPeuple09,1853,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0139,rf0139,Sue,male,MysteresPeuple11,1854,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0138,rf0138,Sue,male,MysteresPeuple10,1854,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0140,rf0140,Sue,male,MysteresPeuple12,1855,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0141,rf0141,Sue,male,MysteresPeuple13,1856,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0143,rf0143,Sue,male,MysteresPeuple16,1857,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0142,rf0142,Sue,male,MysteresPeuple15,1857,narrative,novel,blanche,blanche,n.av.,n.av.,1850s
rf0496,rf0496,Tournier,male,Vendredi,1967,narrative,novel,blanche,blanche,n.av.,n.av.,1960s
rf0495,rf0495,Tournier,male,RoiAulnes,1970,narrative,novel,blanche,blanche,n.av.,n.av.,1970s
rf0497,rf0497,Tournier,male,Meteores,1975,narrative,novel,blanche,blanche,n.av.,n.av.,1970s
rf0499,rf0499,Tournier,male,Gaspard,1980,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0498,rf0498,Tournier,male,GoutteOr,1985,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0517,rf0517,Toussaint,male,SalleBain,1985,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0521,rf0521,Toussaint,male,Monsieur,1986,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0518,rf0518,Toussaint,male,AppareilPhoto,1988,narrative,novel,blanche,blanche,n.av.,n.av.,1980s
rf0519,rf0519,Toussaint,male,Television,1997,narrative,novel,blanche,blanche,n.av.,n.av.,1990s
rf0515,rf0515,Toussaint,male,FaireAmour,2002,narrative,novel,blanche,blanche,n.av.,n.av.,2000s
rf0513,rf0513,Toussaint,male,Fuir,2005,narrative,novel,blanche,blanche,n.av.,n.av.,2000s
rf0516,rf0516,Toussaint,male,VeriteMarie,2009,narrative,novel,blanche,blanche,n.av.,n.av.,2000s
rf0086,rf0086,Verne,male,CapitaineHatteras,1866,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0082,rf0082,Verne,male,AutourLune,1869,narrative,novel,blanche,blanche,n.av.,n.av.,1860s
rf0178,rf0178,Verne,male,VingtMilleLieues,1871,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0174,rf0174,Verne,male,PaysFourrures,1873,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0169,rf0169,Verne,male,IleMysterieuse,1875,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0087,rf0087,Verne,male,CapitaineQuinzeAns,1878,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0177,rf0177,Verne,male,TribulationsChinois,1879,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0171,rf0171,Verne,male,KerabanTetu,1883,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0081,rf0081,Verne,male,ArchipelFeu,1884,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0149,rf0149,Verne,male,DeuxAnsVacances,1888,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0091,rf0091,Verne,male,ChateauCarpathes,1892,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0175,rf0175,Verne,male,SecretStoritz,1898,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0176,rf0176,Verne,male,TestamentExcentrique,1899,narrative,novel,blanche,adventure,heterodiegetic,n.av.,1890s
rf0089,rf0089,Verne,male,ChasseMeteoreV1,1901,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0085,rf0085,Verne,male,BoursesVoyage,1903,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0150,rf0150,Verne,male,MaitreMonde,1904,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0170,rf0170,Verne,male,InvasionMer,1905,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0090,rf0090,Verne,male,ChasseMeteoreV2,1908,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0173,rf0173,Verne,male,NaufragesJonathan,1909,narrative,novel,blanche,blanche,n.av.,n.av.,1900s
rf0543,rf0543,Vian,male,EcumeJours,1947,narrative,novel,blanche,blanche,n.av.,n.av.,1940s
rf0542,rf0542,Vian,male,AutomnePekin,1947,narrative,novel,blanche,blanche,n.av.,n.av.,1940s
rf0544,rf0544,Vian,male,HerbeRouge,1950,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0541,rf0541,Vian,male,ArracheCoeur,1953,narrative,novel,blanche,blanche,n.av.,n.av.,1950s
rf0209,rf0209,Viel,male,BlackNote,1998,narrative,novel,blanche,blanche,n.av.,n.av.,1990s
rf0205,rf0205,Viel,male,Perfection,2001,narrative,novel,blanche,blanche,n.av.,n.av.,2000s
rf0204,rf0204,Viel,male,Insoupçonnable,2006,narrative,novel,blanche,blanche,n.av.,n.av.,2000s
rf0210,rf0210,Viel,male,ParisBrest,2009,narrative,novel,blanche,blanche,n.av.,n.av.,2000s
rf0095,rf0095,Zola,male,FortuneRougon,1870,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0061,rf0061,Zola,male,VentreParis,1873,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1870s
rf0104,rf0104,Zola,male,AbbeMouret,1875,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0096,rf0096,Zola,male,EugeneRougon,1876,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0100,rf0100,Zola,male,Assommoir,1877,narrative,novel,blanche,blanche,n.av.,n.av.,1870s
rf0097,rf0097,Zola,male,CapitaineBurle,1883,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0058,rf0058,Zola,male,Germinal,1885,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1880s
rf0060,rf0060,Zola,male,Oeuvre,1886,narrative,novel,blanche,blanche,heterodiegetic,n.av.,1880s
rf0103,rf0103,Zola,male,Reve,1888,narrative,novel,blanche,blanche,n.av.,n.av.,1880s
rf0102,rf0102,Zola,male,Argent,1891,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0094,rf0094,Zola,male,Debacle,1892,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0093,rf0093,Zola,male,DocteurPascal,1893,narrative,novel,blanche,blanche,n.av.,n.av.,1890s
rf0677,rf0677,Amila,male,BonneTisane,1955,narrative,novel,policier,noir,heterodiegetic,criminal,1950s
rf0680,rf0680,Amila,male,LuneOmaha,1964,narrative,novel,policier,neopolar,heterodiegetic,criminal,1960s
rf0681,rf0681,Amila,male,NocesSoufre,1964,narrative,novel,policier,noir,heterodiegetic,mixed,1960s
rf0683,rf0683,Amila,male,PitieRats,1964,narrative,novel,policier,noir,heterodiegetic,criminal,1960s
rf0684,rf0684,Amila,male,NefDingues,1972,narrative,novel,policier,noir,heterodiegetic,mixed,1970s
rf0679,rf0679,Amila,male,BoucherHurlus,1982,narrative,novel,policier,noir,heterodiegetic,criminal,1980s
rf0672,rf0672,Amila,male,BalconHiroshima,1985,narrative,novel,policier,noir,heterodiegetic,criminal,1980s
rf0571,rf0571,Balzac,male,TenebreuseAffaire,1841,narrative,novel,policier,litteraire,heterodiegetic,criminal,1840s
rf0731,rf0731,Barbara,male,AssassinatPontRouge,1855,narrative,novel,policier,archaique,n.av.,n.av.,1850s
rf1250,rf1250,BoilNarc,male,OmbreProie,1951,narrative,novel,policier,suspense,heterodiegetic,victim,1950s
rf1258,rf1258,BoilNarc,male,VisagesOmbre,1953,narrative,novel,policier,suspense,heterodiegetic,victime,1950s
rf1257,rf1257,BoilNarc,male,EntreMorts,1954,narrative,novel,policier,suspense,heterodiegetic,detective,1950s
rf1256,rf1256,BoilNarc,male,MauvaisOeil,1956,narrative,novel,policier,suspense,heterodiegetic,victim,1950s
rf1254,rf1254,BoilNarc,male,Magiciennes,1957,narrative,novel,policier,suspense,heterodiegetic,witness,1950s
rf1252,rf1252,BoilNarc,male,IngenieurChiffres,1958,narrative,novel,policier,detection,heterodiegetic,detective,1950s
rf1251,rf1251,BoilNarc,male,CoeurPerdu,1959,narrative,novel,policier,suspense,heterodiegetic,witness,1950s
rf1266,rf1266,BoilNarc,male,Malefices,1961,narrative,novel,policier,suspense,homodiegetic,victim,1960s
